"Uniprot_ID","PDB_ID","chain","fp_idr","fn_idr","ncpr_idr","tcpr_idr","idr_len","fp_fd","fn_fd","ncpr_fd","tcpr_fd","fd_len","tail","idr_start","fd_start_real","fd_start_reported","fd_start_pdb","fd_coverage_percentage","FD_IDR_terminal_dist_real","FD_start_error"
"Q9NUT2","5och","H",0.25,0.071,0.18,0.32,28,0.093,0.093,0,0.19,605,"C_terminal",708,713,714,713,0.85,5,1
"Q2M2I8","5te0","A",0.11,0.057,0.057,0.17,35,0.11,0.11,-0.0029,0.22,339,"N_terminal",35,27,27,27,0.36,8,0
"P08581","5uab","A",0.042,0.29,-0.25,0.33,24,0.1,0.1,0,0.2,338,"C_terminal",1367,1360,1360,1360,0.25,7,0
"Q9H9Z2","5udz","A",0.061,0.21,-0.15,0.27,33,0.16,0.083,0.076,0.24,157,"N_terminal",33,33,31,33,0.88,0,2
"Q6DD88","5vgr","A",0.13,0.13,0,0.26,23,0.11,0.14,-0.033,0.25,422,"N_terminal",23,22,21,22,0.81,1,1
"Q5XUX0","5vzt","B",0.13,0.14,-0.016,0.27,63,0.12,0.13,-0.0084,0.25,474,"N_terminal",63,66,66,66,0.99,3,0
"Q9BVG8","5wde","A",0.14,0.076,0.061,0.21,66,0.11,0.13,-0.027,0.24,328,"C_terminal",768,767,770,767,0.43,1,3
"Q9Y483","5xfr","A",0.24,0.048,0.19,0.29,42,0.12,0.12,0.0032,0.24,316,"N_terminal",42,44,43,44,0.57,2,1
"Q14678","5ybj","A",0.2,0.04,0.16,0.24,25,0.08,0.13,-0.048,0.21,250,"C_terminal",1328,1325,1329,1325,0.19,3,4
"Q8N4J0","5yf0","A",0.13,0.15,-0.016,0.28,61,0.11,0.14,-0.025,0.25,357,"N_terminal",61,60,53,60,1,1,7
"Q02880","5zen","A",0.19,0.2,-0.0094,0.4,424,0.14,0.14,-0.0053,0.28,757,"C_terminal",1203,1206,1206,1201,0.63,3,0
"Q7L5D6","6au8","A",0,0.35,-0.35,0.35,23,0.095,0.11,-0.014,0.2,283,"C_terminal",305,305,305,305,0.92,0,0
"Q13363","6cdf","A",0.095,0,0.095,0.095,21,0.1,0.12,-0.023,0.23,352,"N_terminal",21,28,28,28,0.84,7,0
"Q9Y4E8","6crn","A",0.05,0.28,-0.22,0.32,40,0.12,0.13,-0.012,0.25,166,"C_terminal",942,934,951,624,0.7,8,17
"Q9NUW8","6dhu","A",0.14,0.19,-0.052,0.34,154,0.11,0.093,0.013,0.2,461,"N_terminal",154,162,148,162,1,8,14
"Q5JU85","6fae","A",0.083,0.035,0.048,0.12,399,0.15,0.13,0.027,0.28,371,"C_terminal",1090,1094,1099,743,0.34,4,5
"Q92769","6g3o","A",0.19,0.3,-0.1,0.49,115,0.11,0.12,-0.0081,0.23,370,"C_terminal",374,375,376,379,0.99,1,1
"Q9UK32","6g76","A",0.04,0.28,-0.24,0.32,50,0.15,0.14,0.0099,0.29,302,"N_terminal",50,51,48,51,0.43,1,3
"Q6NYC1","6gdy","B",0.13,0.17,-0.043,0.3,69,0.15,0.13,0.023,0.29,343,"C_terminal",335,334,343,334,1,1,9
"Q9UQB9","6gr8","A",0.059,0.059,0,0.12,34,0.16,0.13,0.022,0.29,270,"N_terminal",34,36,36,36,0.97,2,0
"Q9BXU0","6hk9","B",0.15,0.12,0.025,0.28,40,0.15,0.2,-0.053,0.35,75,"N_terminal",40,49,49,49,0.88,9,0
"Q9Y255","6i3v","F",0.22,0.15,0.073,0.37,41,0.13,0.098,0.029,0.23,173,"C_terminal",179,173,173,185,0.96,6,0
"Q9Y2J2","6ibe","A",0.13,0.19,-0.059,0.31,102,0.14,0.14,0.0035,0.29,284,"N_terminal",102,107,107,107,0.29,5,0
"Q15286","6if2","B",0.32,0.04,0.28,0.36,25,0.13,0.14,-0.017,0.27,180,"C_terminal",177,178,180,178,1,1,2
"Q9BPX3","6igx","B",0.17,0.16,0.0087,0.32,115,0.12,0.14,-0.029,0.26,900,"C_terminal",901,896,900,896,1,5,4
"Q15554","6j67","A",0.18,0.091,0.091,0.27,88,0.16,0.15,0.015,0.31,204,"N_terminal",88,85,84,43,0.45,3,1
"P48039","6me2","A",0.05,0.05,0,0.1,20,0.068,0.024,0.043,0.092,207,"N_terminal",20,22,12,22,0.62,2,10
"A6NHR9","6mw7","B",0.038,0.15,-0.12,0.19,26,0.14,0.15,-0.016,0.29,557,"N_terminal",26,26,24,26,0.28,0,2
"Q9Y3B8","6n6i","B",0.17,0,0.17,0.17,24,0.14,0.17,-0.029,0.31,205,"N_terminal",24,34,33,2,0.95,10,1
"P08912","6ol9","A",0,0.1,-0.1,0.1,20,0.088,0.054,0.034,0.14,204,"N_terminal",20,26,21,26,0.4,6,5
"Q8N8Q3","6oze","A",0.15,0.059,0.088,0.21,34,0.13,0.12,0.0081,0.24,246,"C_terminal",249,254,254,254,0.98,5,0
"Q8IXL7","6qa0","A",0.037,0.15,-0.11,0.19,27,0.12,0.12,0,0.23,139,"C_terminal",166,169,169,137,0.83,3,0
"Q13336","6qd5","A",0.083,0.17,-0.083,0.25,24,0.047,0.047,0,0.095,359,"N_terminal",24,31,31,31,0.98,7,0
"Q13263","6qu1","A",0.037,0.037,0,0.074,54,0.14,0.13,0.01,0.26,382,"N_terminal",54,59,53,59,0.49,5,6
"A6NK06","6r6u","A",0.043,0.043,0,0.087,23,0.096,0.096,0,0.19,458,"C_terminal",459,461,461,461,1,2,0
"P43366","6r7t","B",0.14,0.13,0.0093,0.27,107,0.15,0.14,0.004,0.29,249,"N_terminal",107,106,99,108,1,1,7
"Q9UHB7","6r80","A",0.16,0.13,0.031,0.29,908,0.13,0.1,0.03,0.23,265,"N_terminal",908,909,899,909,1,1,10
"Q8WVM7","6rrc","A",0.19,0.14,0.047,0.33,85,0.13,0.15,-0.024,0.27,335,"N_terminal",85,86,86,86,0.28,1,0
"Q86U70","6tyd","V",0.11,0.12,-0.0076,0.23,132,0.12,0.12,0,0.23,230,"C_terminal",280,282,285,282,0.82,2,3
"Q9H5U6","6uca","D",0.087,0.13,-0.043,0.22,23,0.12,0.11,0.016,0.23,441,"N_terminal",23,25,24,25,0.9,2,1
