"Uniprot_ID","Start_Coverage_IDR","End_Coverage_IDR","Sequence_Length","N_Terminal_Status","C_Terminal_Status","Non_Tail_Status","FD_IDR_terminal_dist","Start_Coverage_FD","End_Coverage_FD","IDR_Length","FD_Length"
"P02751",1260,1292,2477,0,0,1,NA,NA,NA,32,NA
"P02751",1344,1363,2477,0,0,1,NA,NA,NA,19,NA
"P02751",1391,1415,2477,0,0,1,NA,NA,NA,24,NA
"P02751",1484,1507,2477,0,0,1,NA,NA,NA,23,NA
"P02751",1523,1601,2477,0,0,1,NA,NA,NA,78,NA
"P02751",1671,1694,2477,0,0,1,NA,NA,NA,23,NA
"P02751",1940,1961,2477,0,0,1,NA,NA,NA,21,NA
"P02751",1997,2116,2477,0,0,1,NA,NA,NA,119,NA
"P02751",2333,2357,2477,0,0,1,NA,NA,NA,24,NA
"P14854",1,26,86,1,0,0,-21,5,86,25,81
"P31689",350,397,397,0,1,0,-37,375,387,47,12
"P11532",309,333,3685,0,0,1,NA,NA,NA,24,NA
"P11532",697,716,3685,0,0,1,NA,NA,NA,19,NA
"P11532",1808,1840,3685,0,0,1,NA,NA,NA,32,NA
"P11532",3422,3444,3685,0,0,1,NA,NA,NA,22,NA
"P11532",3480,3499,3685,0,0,1,NA,NA,NA,19,NA
"P11532",3520,3563,3685,0,0,1,NA,NA,NA,43,NA
"P11532",3581,3685,3685,0,1,0,275,3046,3306,104,260
"Q8TE68",156,250,723,0,0,1,NA,NA,NA,94,NA
"Q8TE68",285,309,723,0,0,1,NA,NA,NA,24,NA
"Q8TE68",397,479,723,0,0,1,NA,NA,NA,82,NA
"Q8TE68",518,638,723,0,0,1,NA,NA,NA,120,NA
"O14529",108,170,1486,0,0,1,NA,NA,NA,62,NA
"O14529",413,495,1486,0,0,1,NA,NA,NA,82,NA
"O14529",508,556,1486,0,0,1,NA,NA,NA,48,NA
"O14529",634,761,1486,0,0,1,NA,NA,NA,127,NA
"O14529",799,883,1486,0,0,1,NA,NA,NA,84,NA
"O14529",929,948,1486,0,0,1,NA,NA,NA,19,NA
"O14529",963,1040,1486,0,0,1,NA,NA,NA,77,NA
"O14529",1224,1463,1486,0,0,1,NA,NA,NA,239,NA
"P33176",678,719,963,0,0,1,NA,NA,NA,41,NA
"P33176",752,772,963,0,0,1,NA,NA,NA,20,NA
"P33176",881,963,963,0,1,0,532,1,349,82,348
"Q9HCE5",22,94,456,0,0,1,NA,NA,NA,72,NA
"Q9HCE5",389,456,456,0,1,0,-67,1,456,67,455
"Q8N448",1,21,690,1,0,0,-1,20,147,20,127
"Q8N448",139,174,690,0,0,1,NA,NA,NA,35,NA
"Q8N448",197,226,690,0,0,1,NA,NA,NA,29,NA
"Q8N448",416,460,690,0,0,1,NA,NA,NA,44,NA
"Q8N448",472,503,690,0,0,1,NA,NA,NA,31,NA
"Q86W50",385,504,562,0,0,1,NA,NA,NA,119,NA
"P22001",1,97,575,1,0,0,7,104,204,96,100
"P22001",263,290,575,0,0,1,NA,NA,NA,27,NA
"Q9Y3E1",71,203,203,0,1,0,-28,1,99,132,98
"P53990",195,364,364,0,1,0,6,1,189,169,188
"Q86XN8",1,161,651,1,0,0,111,272,341,160,69
"Q86XN8",374,450,651,0,0,1,NA,NA,NA,76,NA
"Q86XN8",483,595,651,0,0,1,NA,NA,NA,112,NA
"Q8NHM5",1,27,1336,1,0,0,580,607,723,26,116
"Q8NHM5",385,502,1336,0,0,1,NA,NA,NA,117,NA
"Q8NHM5",573,610,1336,0,0,1,NA,NA,NA,37,NA
"Q8NHM5",721,1059,1336,0,0,1,NA,NA,NA,338,NA
"Q6ZW33",1,172,695,1,0,0,362,534,683,171,149
"Q6ZW33",189,522,695,0,0,1,NA,NA,NA,333,NA
"Q6ZW33",552,581,695,0,0,1,NA,NA,NA,29,NA
"Q6ZW33",627,646,695,0,0,1,NA,NA,NA,19,NA
"P02533",1,110,472,1,0,0,185,295,422,109,127
"P02533",421,472,472,0,1,0,-1,295,422,51,127
"P07900",163,184,732,0,0,1,NA,NA,NA,21,NA
"P07900",212,288,732,0,0,1,NA,NA,NA,76,NA
"P07900",698,732,732,0,1,0,-34,293,732,34,439
"Q8N4P3",1,34,179,1,0,0,-33,1,179,33,178
"Q13098",464,491,491,0,1,0,-27,1,491,27,490
"Q4KMG0",527,595,1287,0,0,1,NA,NA,NA,68,NA
"Q4KMG0",666,695,1287,0,0,1,NA,NA,NA,29,NA
"Q4KMG0",930,959,1287,0,0,1,NA,NA,NA,29,NA
"Q4KMG0",1124,1144,1287,0,0,1,NA,NA,NA,20,NA
"Q4KMG0",1194,1214,1287,0,0,1,NA,NA,NA,20,NA
"Q4KMG0",1260,1287,1287,0,1,0,336,826,924,27,98
"Q13231",277,296,466,0,0,1,NA,NA,NA,19,NA
"Q13231",388,435,466,0,0,1,NA,NA,NA,47,NA
"Q9P2I0",406,454,782,0,0,1,NA,NA,NA,48,NA
"Q9P2I0",487,520,782,0,0,1,NA,NA,NA,33,NA
"Q9P2I0",650,714,782,0,0,1,NA,NA,NA,64,NA
"O96017",1,95,543,1,0,0,-32,63,531,94,468
"O96017",500,543,543,0,1,0,-31,63,531,43,468
"Q9NZI5",73,100,618,0,0,1,NA,NA,NA,27,NA
"Q9NZI5",154,174,618,0,0,1,NA,NA,NA,20,NA
"Q9NZI5",193,213,618,0,0,1,NA,NA,NA,20,NA
"Q8TE67",147,242,593,0,0,1,NA,NA,NA,95,NA
"Q8TE67",260,280,593,0,0,1,NA,NA,NA,20,NA
"Q8TE67",358,454,593,0,0,1,NA,NA,NA,96,NA
"Q8TE67",497,529,593,0,0,1,NA,NA,NA,32,NA
"Q93077",1,28,130,1,0,0,-27,1,130,27,129
"Q03933",218,339,536,0,0,1,NA,NA,NA,121,NA
"Q03933",401,440,536,0,0,1,NA,NA,NA,39,NA
"Q14566",308,327,821,0,0,1,NA,NA,NA,19,NA
"Q14566",668,702,821,0,0,1,NA,NA,NA,34,NA
"Q16836",1,21,314,1,0,0,-20,1,314,20,313
"Q14657",1,60,143,1,0,0,-59,1,143,59,142
"P0C0S8",1,27,130,1,0,0,-26,1,130,26,129
"P0DPK2",1,49,136,1,0,0,-48,1,136,48,135
"Q5U5Q3",1,163,659,1,0,0,58,221,306,162,85
"Q5U5Q3",360,380,659,0,0,1,NA,NA,NA,20,NA
"Q5U5Q3",436,462,659,0,0,1,NA,NA,NA,26,NA
"Q5U5Q3",483,605,659,0,0,1,NA,NA,NA,122,NA
"P19827",613,668,911,0,0,1,NA,NA,NA,55,NA
"Q8WVC0",1,365,666,1,0,0,5,370,462,364,92
"Q8WVC0",519,666,666,0,1,0,57,370,462,147,92
"Q0D2I5",16,64,559,0,0,1,NA,NA,NA,48,NA
"Q0D2I5",108,127,559,0,0,1,NA,NA,NA,19,NA
"Q0D2I5",153,188,559,0,0,1,NA,NA,NA,35,NA
"Q0D2I5",357,402,559,0,0,1,NA,NA,NA,45,NA
"Q0D2I5",519,559,559,0,1,0,-6,450,525,40,75
"P24043",75,104,3122,0,0,1,NA,NA,NA,29,NA
"P24043",1655,1674,3122,0,0,1,NA,NA,NA,19,NA
"P24043",2561,2580,3122,0,0,1,NA,NA,NA,19,NA
"P24043",2715,2750,3122,0,0,1,NA,NA,NA,35,NA
"P24043",3042,3066,3122,0,0,1,NA,NA,NA,24,NA
"Q9BQ69",18,43,325,0,0,1,NA,NA,NA,25,NA
"Q96QP1",503,588,1244,0,0,1,NA,NA,NA,85,NA
"Q96QP1",602,895,1244,0,0,1,NA,NA,NA,293,NA
"Q99675",232,273,332,0,0,1,NA,NA,NA,41,NA
"P46736",297,316,316,0,1,0,-19,1,316,19,315
"Q9ULD4",1,29,1205,1,0,0,1027,1056,1195,28,139
"Q9ULD4",66,127,1205,0,0,1,NA,NA,NA,61,NA
"Q9ULD4",386,473,1205,0,0,1,NA,NA,NA,87,NA
"Q9ULD4",520,544,1205,0,0,1,NA,NA,NA,24,NA
"Q9ULD4",756,1041,1205,0,0,1,NA,NA,NA,285,NA
"P17655",1,20,700,1,0,0,-18,2,700,19,698
"P31997",136,160,349,0,0,1,NA,NA,NA,24,NA
"Q96FZ7",167,201,201,0,1,0,-14,166,181,34,15
"Q9Y6Y1",267,377,1673,0,0,1,NA,NA,NA,110,NA
"Q9Y6Y1",471,503,1673,0,0,1,NA,NA,NA,32,NA
"Q9Y6Y1",596,666,1673,0,0,1,NA,NA,NA,70,NA
"Q9Y6Y1",988,1028,1673,0,0,1,NA,NA,NA,40,NA
"Q9Y6Y1",1169,1322,1673,0,0,1,NA,NA,NA,153,NA
"Q9Y6Y1",1334,1360,1673,0,0,1,NA,NA,NA,26,NA
"Q9Y6Y1",1375,1394,1673,0,0,1,NA,NA,NA,19,NA
"Q96LA8",1,44,375,1,0,0,-43,1,375,43,374
"Q01668",1,103,2161,1,0,0,399,502,510,102,8
"Q01668",443,490,2161,0,0,1,NA,NA,NA,47,NA
"Q01668",761,850,2161,0,0,1,NA,NA,NA,89,NA
"Q01668",1289,1309,2161,0,0,1,NA,NA,NA,20,NA
"Q01668",1658,1824,2161,0,0,1,NA,NA,NA,166,NA
"Q01668",1871,1923,2161,0,0,1,NA,NA,NA,52,NA
"Q01668",1965,1991,2161,0,0,1,NA,NA,NA,26,NA
"Q01668",2105,2161,2161,0,1,0,1595,502,510,56,8
"Q01433",25,105,879,0,0,1,NA,NA,NA,80,NA
"Q01433",142,161,879,0,0,1,NA,NA,NA,19,NA
"Q01433",187,213,879,0,0,1,NA,NA,NA,26,NA
"Q01433",279,315,879,0,0,1,NA,NA,NA,36,NA
"Q96N21",138,233,525,0,0,1,NA,NA,NA,95,NA
"Q96N21",352,468,525,0,0,1,NA,NA,NA,116,NA
"Q96N21",481,525,525,0,1,0,328,1,153,44,152
"Q9Y5Z0",498,518,518,0,1,0,38,75,460,20,385
"P08519",110,144,4548,0,0,1,NA,NA,NA,34,NA
"P08519",224,258,4548,0,0,1,NA,NA,NA,34,NA
"P08519",338,372,4548,0,0,1,NA,NA,NA,34,NA
"P08519",452,486,4548,0,0,1,NA,NA,NA,34,NA
"P08519",566,600,4548,0,0,1,NA,NA,NA,34,NA
"P08519",680,714,4548,0,0,1,NA,NA,NA,34,NA
"P08519",794,828,4548,0,0,1,NA,NA,NA,34,NA
"P08519",908,942,4548,0,0,1,NA,NA,NA,34,NA
"P08519",1022,1056,4548,0,0,1,NA,NA,NA,34,NA
"P08519",1136,1170,4548,0,0,1,NA,NA,NA,34,NA
"P08519",1250,1284,4548,0,0,1,NA,NA,NA,34,NA
"P08519",1364,1398,4548,0,0,1,NA,NA,NA,34,NA
"P08519",1478,1512,4548,0,0,1,NA,NA,NA,34,NA
"P08519",1592,1626,4548,0,0,1,NA,NA,NA,34,NA
"P08519",1706,1740,4548,0,0,1,NA,NA,NA,34,NA
"P08519",1820,1854,4548,0,0,1,NA,NA,NA,34,NA
"P08519",1934,1968,4548,0,0,1,NA,NA,NA,34,NA
"P08519",2048,2082,4548,0,0,1,NA,NA,NA,34,NA
"P08519",2162,2196,4548,0,0,1,NA,NA,NA,34,NA
"P08519",2276,2310,4548,0,0,1,NA,NA,NA,34,NA
"P08519",2390,2424,4548,0,0,1,NA,NA,NA,34,NA
"P08519",2504,2538,4548,0,0,1,NA,NA,NA,34,NA
"P08519",2618,2652,4548,0,0,1,NA,NA,NA,34,NA
"P08519",2732,2766,4548,0,0,1,NA,NA,NA,34,NA
"P08519",2846,2880,4548,0,0,1,NA,NA,NA,34,NA
"P08519",2960,2994,4548,0,0,1,NA,NA,NA,34,NA
"P08519",3074,3108,4548,0,0,1,NA,NA,NA,34,NA
"P08519",3188,3222,4548,0,0,1,NA,NA,NA,34,NA
"P08519",3302,3336,4548,0,0,1,NA,NA,NA,34,NA
"P08519",3416,3450,4548,0,0,1,NA,NA,NA,34,NA
"P08519",3587,3607,4548,0,0,1,NA,NA,NA,20,NA
"P08519",3653,3681,4548,0,0,1,NA,NA,NA,28,NA
"P08519",3871,3898,4548,0,0,1,NA,NA,NA,27,NA
"P08519",3980,4011,4548,0,0,1,NA,NA,NA,31,NA
"P08519",4041,4066,4548,0,0,1,NA,NA,NA,25,NA
"P08519",4091,4120,4548,0,0,1,NA,NA,NA,29,NA
"P08519",4147,4168,4548,0,0,1,NA,NA,NA,21,NA
"P08519",4214,4233,4548,0,0,1,NA,NA,NA,19,NA
"P13671",260,279,934,0,0,1,NA,NA,NA,19,NA
"P13671",585,605,934,0,0,1,NA,NA,NA,20,NA
"Q13451",1,29,457,1,0,0,-28,1,457,28,456
"Q13451",417,457,457,0,1,0,-40,1,457,40,456
"P23769",1,37,480,1,0,0,306,343,391,36,48
"P23769",101,253,480,0,0,1,NA,NA,NA,152,NA
"P23769",272,292,480,0,0,1,NA,NA,NA,20,NA
"P23769",388,411,480,0,0,1,NA,NA,NA,23,NA
"P23769",444,480,480,0,1,0,53,343,391,36,48
"Q13467",154,179,585,0,0,1,NA,NA,NA,25,NA
"Q13467",560,585,585,0,1,0,405,28,155,25,127
"P11488",1,26,350,1,0,0,-24,2,11,25,9
"O00571",1,158,662,1,0,0,-26,132,607,157,475
"O00571",579,662,662,0,1,0,-28,132,607,83,475
"Q9NP87",1,27,494,1,0,0,-25,2,494,26,492
"Q9NP87",265,286,494,0,0,1,NA,NA,NA,21,NA
"Q8IYD8",1,48,2048,1,0,0,613,661,800,47,139
"Q8IYD8",1092,1125,2048,0,0,1,NA,NA,NA,33,NA
"Q8IYD8",1284,1303,2048,0,0,1,NA,NA,NA,19,NA
"Q8IYD8",1429,1481,2048,0,0,1,NA,NA,NA,52,NA
"Q8IYD8",1493,1545,2048,0,0,1,NA,NA,NA,52,NA
"Q8IYD8",1656,1813,2048,0,0,1,NA,NA,NA,157,NA
"O60888",44,65,179,0,0,1,NA,NA,NA,21,NA
"P36980",131,154,270,0,0,1,NA,NA,NA,23,NA
"P05412",148,269,331,0,0,1,NA,NA,NA,121,NA
"P48729",303,337,337,0,1,0,-34,1,337,34,336
"O15151",1,20,490,1,0,0,-6,14,116,19,102
"O15151",123,168,490,0,0,1,NA,NA,NA,45,NA
"O15151",345,364,490,0,0,1,NA,NA,NA,19,NA
"O15151",400,426,490,0,0,1,NA,NA,NA,26,NA
"Q8N6W0",1,41,485,1,0,0,85,126,217,40,91
"Q8N6W0",110,135,485,0,0,1,NA,NA,NA,25,NA
"P06850",22,64,196,0,0,1,NA,NA,NA,42,NA
"P06850",80,108,196,0,0,1,NA,NA,NA,28,NA
"P06850",126,159,196,0,0,1,NA,NA,NA,33,NA
"O43918",90,186,545,0,0,1,NA,NA,NA,96,NA
"O43918",231,298,545,0,0,1,NA,NA,NA,67,NA
"O43918",347,408,545,0,0,1,NA,NA,NA,61,NA
"O43918",483,513,545,0,0,1,NA,NA,NA,30,NA
"P14635",1,136,433,1,0,0,29,165,433,135,268
"P35869",1,41,848,1,0,0,-18,23,273,40,250
"P35869",425,450,848,0,0,1,NA,NA,NA,25,NA
"P35869",513,535,848,0,0,1,NA,NA,NA,22,NA
"P35869",819,848,848,0,1,0,546,23,273,29,250
"O14519",1,58,115,1,0,0,3,61,115,57,54
"P15514",26,146,252,0,0,1,NA,NA,NA,120,NA
"Q8N5K1",107,135,135,0,1,0,-28,57,135,28,78
"P02458",79,1282,1487,0,0,1,NA,NA,NA,1203,NA
"P08913",1,25,465,1,0,0,108,133,164,24,31
"P08913",225,364,465,0,0,1,NA,NA,NA,139,NA
"P20309",266,358,590,0,0,1,NA,NA,NA,92,NA
"Q86SF2",27,68,657,0,0,1,NA,NA,NA,41,NA
"Q86SF2",86,109,657,0,0,1,NA,NA,NA,23,NA
"Q86SF2",131,152,657,0,0,1,NA,NA,NA,21,NA
"Q96LL9",107,159,226,0,0,1,NA,NA,NA,52,NA
"Q00688",83,128,224,0,0,1,NA,NA,NA,45,NA
"Q9NVP1",25,171,670,0,0,1,NA,NA,NA,146,NA
"Q9NVP1",627,670,670,0,1,0,240,149,387,43,238
"Q6P3S1",489,558,775,0,0,1,NA,NA,NA,69,NA
"Q6P3S1",625,654,775,0,0,1,NA,NA,NA,29,NA
"Q6P3S1",667,740,775,0,0,1,NA,NA,NA,73,NA
"Q13642",292,323,323,0,1,0,75,162,217,31,55
"Q13158",184,208,208,0,1,0,-24,1,208,24,207
"P19235",379,423,508,0,0,1,NA,NA,NA,44,NA
"P19235",463,508,508,0,1,0,125,24,338,45,314
"P43166",1,23,264,1,0,0,-22,1,264,22,263
"O00311",1,28,574,1,0,0,9,37,574,27,537
"O00311",224,277,574,0,0,1,NA,NA,NA,53,NA
"O00311",469,518,574,0,0,1,NA,NA,NA,49,NA
"O60885",1,61,1362,1,0,0,-20,41,477,60,436
"O60885",173,352,1362,0,0,1,NA,NA,NA,179,NA
"O60885",460,1362,1362,0,1,0,-17,41,477,902,436
"P20273",771,794,847,0,0,1,NA,NA,NA,23,NA
"O43707",1,33,911,1,0,0,14,47,271,32,224
"Q92784",106,257,378,0,0,1,NA,NA,NA,151,NA
"Q96AY2",1,91,570,1,0,0,87,178,570,90,392
"Q96AY2",110,156,570,0,0,1,NA,NA,NA,46,NA
"Q96AY2",177,238,570,0,0,1,NA,NA,NA,61,NA
"Q96AY2",368,403,570,0,0,1,NA,NA,NA,35,NA
"P17813",618,658,658,0,1,0,37,26,581,40,555
"Q8TEK3",327,481,1537,0,0,1,NA,NA,NA,154,NA
"Q8TEK3",727,768,1537,0,0,1,NA,NA,NA,41,NA
"Q8TEK3",782,858,1537,0,0,1,NA,NA,NA,76,NA
"Q8TEK3",892,927,1537,0,0,1,NA,NA,NA,35,NA
"Q8TEK3",949,1414,1537,0,0,1,NA,NA,NA,465,NA
"Q8TEK3",1439,1470,1537,0,0,1,NA,NA,NA,31,NA
"Q92837",1,31,279,1,0,0,-30,1,279,30,278
"Q92837",54,89,279,0,0,1,NA,NA,NA,35,NA
"Q92837",136,202,279,0,0,1,NA,NA,NA,66,NA
"Q92837",224,279,279,0,1,0,-55,1,279,55,278
"Q96BY6",1,47,2186,1,0,0,1647,1694,2151,46,457
"Q96BY6",141,184,2186,0,0,1,NA,NA,NA,43,NA
"Q96BY6",1290,1314,2186,0,0,1,NA,NA,NA,24,NA
"Q96BY6",1422,1441,2186,0,0,1,NA,NA,NA,19,NA
"O14556",1,68,408,1,0,0,1,69,407,67,338
"Q9UKG1",1,20,709,1,0,0,-19,1,385,19,384
"Q9UKG1",384,434,709,0,0,1,NA,NA,NA,50,NA
"Q9UKG1",466,493,709,0,0,1,NA,NA,NA,27,NA
"Q9UKG1",633,709,709,0,1,0,-13,492,646,76,154
"Q9BUQ8",1,251,820,1,0,0,-250,1,820,250,819
"Q9BUQ8",331,355,820,0,0,1,NA,NA,NA,24,NA
"Q9BUQ8",568,594,820,0,0,1,NA,NA,NA,26,NA
"Q9BUQ8",790,820,820,0,1,0,-30,1,820,30,819
"Q9BSJ2",873,902,902,0,1,0,-29,1,902,29,901
"Q96RT8",151,204,1024,0,0,1,NA,NA,NA,53,NA
"Q96RT8",520,549,1024,0,0,1,NA,NA,NA,29,NA
"P28472",333,364,473,0,0,1,NA,NA,NA,31,NA
"P28472",405,432,473,0,0,1,NA,NA,NA,27,NA
"Q9Y421",1,112,112,1,0,0,-59,53,112,111,59
"Q05195",25,71,221,0,0,1,NA,NA,NA,46,NA
"Q05195",144,221,221,0,1,0,8,57,136,77,79
"Q14562",92,270,1220,0,0,1,NA,NA,NA,178,NA
"Q14562",332,390,1220,0,0,1,NA,NA,NA,58,NA
"Q14562",413,512,1220,0,0,1,NA,NA,NA,99,NA
"P47871",425,477,477,0,1,0,-9,27,434,52,407
"Q08211",80,152,1270,0,0,1,NA,NA,NA,72,NA
"Q08211",326,345,1270,0,0,1,NA,NA,NA,19,NA
"Q08211",583,612,1270,0,0,1,NA,NA,NA,29,NA
"Q08211",1152,1197,1270,0,0,1,NA,NA,NA,45,NA
"Q08211",1219,1270,1270,0,1,0,656,329,563,51,234
"Q09013",429,452,629,0,0,1,NA,NA,NA,23,NA
"Q09013",530,564,629,0,0,1,NA,NA,NA,34,NA
"Q9UKT5",1,21,387,1,0,0,34,55,387,20,332
"Q9UKT5",241,272,387,0,0,1,NA,NA,NA,31,NA
"P52565",1,40,204,1,0,0,-39,1,204,39,203
"Q9NRI5",1,57,854,1,0,0,136,193,207,56,14
"Q9NRI5",175,263,854,0,0,1,NA,NA,NA,88,NA
"Q9NRI5",277,326,854,0,0,1,NA,NA,NA,49,NA
"Q9NRI5",417,447,854,0,0,1,NA,NA,NA,30,NA
"Q9NRI5",713,743,854,0,0,1,NA,NA,NA,30,NA
"Q9HCG8",1,137,908,1,0,0,-136,1,908,136,907
"Q9HCG8",402,448,908,0,0,1,NA,NA,NA,46,NA
"Q9HCG8",647,908,908,0,1,0,-261,1,908,261,907
"P08833",97,138,259,0,0,1,NA,NA,NA,41,NA
"P22223",65,86,829,0,0,1,NA,NA,NA,21,NA
"P22223",113,135,829,0,0,1,NA,NA,NA,22,NA
"P22223",786,805,829,0,0,1,NA,NA,NA,19,NA
"Q9UH73",1,24,591,1,0,0,-14,10,250,23,240
"Q9UH73",451,488,591,0,0,1,NA,NA,NA,37,NA
"Q9UH73",517,536,591,0,0,1,NA,NA,NA,19,NA
"Q9UH73",560,580,591,0,0,1,NA,NA,NA,20,NA
"Q8NI60",79,147,647,0,0,1,NA,NA,NA,68,NA
"Q8NI60",166,206,647,0,0,1,NA,NA,NA,40,NA
"P26998",1,21,211,1,0,0,0,21,199,20,178
"P02748",128,147,559,0,0,1,NA,NA,NA,19,NA
"P07550",1,24,413,1,0,0,-23,1,365,23,364
"P07550",351,413,413,0,1,0,-14,1,365,62,364
"Q15878",1,42,2313,1,0,0,1825,1867,1887,41,20
"Q15878",713,823,2313,0,0,1,NA,NA,NA,110,NA
"Q15878",844,1010,2313,0,0,1,NA,NA,NA,166,NA
"Q15878",1088,1126,2313,0,0,1,NA,NA,NA,38,NA
"Q15878",1885,1907,2313,0,0,1,NA,NA,NA,22,NA
"Q15878",1923,2247,2313,0,0,1,NA,NA,NA,324,NA
"Q15878",2262,2313,2313,0,1,0,375,1867,1887,51,20
"Q96NW4",622,666,1050,0,0,1,NA,NA,NA,44,NA
"Q96NW4",949,1050,1050,0,1,0,28,659,921,101,262
"Q9Y6B7",583,609,739,0,0,1,NA,NA,NA,26,NA
"Q9NX09",1,73,232,1,0,0,16,89,226,72,137
"Q96AP0",239,408,458,0,0,1,NA,NA,NA,169,NA
"P30926",352,383,498,0,0,1,NA,NA,NA,31,NA
"O60759",1,20,359,1,0,0,47,67,163,19,96
"O60759",251,337,359,0,0,1,NA,NA,NA,86,NA
"Q13283",137,340,466,0,0,1,NA,NA,NA,203,NA
"Q13283",411,466,466,0,1,0,272,1,139,55,138
"P14416",1,31,443,1,0,0,4,35,222,30,187
"P14416",266,367,443,0,0,1,NA,NA,NA,101,NA
"Q9BUN8",221,251,251,0,1,0,-29,239,250,30,11
"P00488",1,27,732,1,0,0,-25,2,732,26,730
"P02675",36,93,491,0,0,1,NA,NA,NA,57,NA
"P09681",30,51,153,0,0,1,NA,NA,NA,21,NA
"P09681",98,126,153,0,0,1,NA,NA,NA,28,NA
"Q92633",330,364,364,0,1,0,4,248,326,34,78
"Q9NQ69",247,276,397,0,0,1,NA,NA,NA,29,NA
"Q9NQ69",328,397,397,0,1,0,-6,267,334,69,67
"O14862",86,143,343,0,0,1,NA,NA,NA,57,NA
"Q86UU0",1,517,1499,1,0,0,-293,224,271,516,47
"Q86UU0",529,1499,1499,0,1,0,258,224,271,970,47
"P08195",1,42,630,1,0,0,-40,2,630,41,628
"P08195",85,108,630,0,0,1,NA,NA,NA,23,NA
"P57739",204,230,230,0,1,0,-26,224,230,26,6
"Q8TDQ1",263,290,290,0,1,0,123,20,140,27,120
"Q76LX8",49,74,1427,0,0,1,NA,NA,NA,25,NA
"Q76LX8",235,259,1427,0,0,1,NA,NA,NA,24,NA
"Q76LX8",281,301,1427,0,0,1,NA,NA,NA,20,NA
"Q76LX8",832,860,1427,0,0,1,NA,NA,NA,28,NA
"Q76LX8",1137,1157,1427,0,0,1,NA,NA,NA,20,NA
"Q76LX8",1171,1208,1427,0,0,1,NA,NA,NA,37,NA
"O60239",1,70,455,1,0,0,-69,1,276,69,275
"O60239",254,443,455,0,0,1,NA,NA,NA,189,NA
"Q99956",64,98,384,0,0,1,NA,NA,NA,34,NA
"Q99956",172,191,384,0,0,1,NA,NA,NA,19,NA
"Q99956",346,384,384,0,1,0,-1,201,347,38,146
"P49354",1,57,379,1,0,0,-56,1,379,56,378
"P07332",149,169,822,0,0,1,NA,NA,NA,20,NA
"P07332",387,423,822,0,0,1,NA,NA,NA,36,NA
"O15353",1,106,648,1,0,0,164,270,366,105,96
"O15353",367,537,648,0,0,1,NA,NA,NA,170,NA
"O15353",563,610,648,0,0,1,NA,NA,NA,47,NA
"O15353",622,648,648,0,1,0,256,270,366,26,96
"O43583",1,26,198,1,0,0,-25,1,198,25,197
"O43583",68,114,198,0,0,1,NA,NA,NA,46,NA
"Q99581",212,238,238,0,1,0,71,42,141,26,99
"Q969G2",173,192,390,0,0,1,NA,NA,NA,19,NA
"Q969G2",210,255,390,0,0,1,NA,NA,NA,45,NA
"Q969G2",285,322,390,0,0,1,NA,NA,NA,37,NA
"Q969G2",353,390,390,0,1,0,137,156,216,37,60
"Q9BYX4",197,309,1025,0,0,1,NA,NA,NA,112,NA
"Q9BYX4",639,665,1025,0,0,1,NA,NA,NA,26,NA
"Q53HL2",124,201,280,0,0,1,NA,NA,NA,77,NA
"O95696",1,28,1058,1,0,0,3,31,80,27,49
"O95696",70,121,1058,0,0,1,NA,NA,NA,51,NA
"O95696",496,517,1058,0,0,1,NA,NA,NA,21,NA
"O95696",754,880,1058,0,0,1,NA,NA,NA,126,NA
"Q16790",34,158,459,0,0,1,NA,NA,NA,124,NA
"Q16790",438,459,459,0,1,0,39,135,399,21,264
"P41180",379,401,1078,0,0,1,NA,NA,NA,22,NA
"P41180",884,965,1078,0,0,1,NA,NA,NA,81,NA
"P41180",977,1078,1078,0,1,0,370,20,607,101,587
"Q8WXE0",352,465,1202,0,0,1,NA,NA,NA,113,NA
"Q8WXE0",646,1186,1202,0,0,1,NA,NA,NA,540,NA
"P05997",93,1294,1499,0,0,1,NA,NA,NA,1201,NA
"P05997",1335,1356,1499,0,0,1,NA,NA,NA,21,NA
"Q9NRA8",1,101,985,1,0,0,98,199,239,100,40
"Q9NRA8",116,303,985,0,0,1,NA,NA,NA,187,NA
"Q9NRA8",330,387,985,0,0,1,NA,NA,NA,57,NA
"Q9NRA8",491,566,985,0,0,1,NA,NA,NA,75,NA
"Q9NRA8",583,612,985,0,0,1,NA,NA,NA,29,NA
"Q9NRA8",646,806,985,0,0,1,NA,NA,NA,160,NA
"Q9NRA8",902,953,985,0,0,1,NA,NA,NA,51,NA
"Q9BQS8",253,287,1478,0,0,1,NA,NA,NA,34,NA
"Q9BQS8",369,424,1478,0,0,1,NA,NA,NA,55,NA
"Q9BQS8",550,615,1478,0,0,1,NA,NA,NA,65,NA
"Q9BQS8",853,885,1478,0,0,1,NA,NA,NA,32,NA
"Q9BQS8",1229,1336,1478,0,0,1,NA,NA,NA,107,NA
"P06241",1,43,537,1,0,0,30,73,141,42,68
"P09958",157,193,794,0,0,1,NA,NA,NA,36,NA
"P09958",665,702,794,0,0,1,NA,NA,NA,37,NA
"P09958",766,794,794,0,1,0,192,108,574,28,466
"P52799",164,219,333,0,0,1,NA,NA,NA,55,NA
"P52799",256,289,333,0,0,1,NA,NA,NA,33,NA
"Q9NZU0",375,409,649,0,0,1,NA,NA,NA,34,NA
"Q9NZU0",617,649,649,0,1,0,260,29,357,32,328
