#File Plotted Below: p8_pa_errrors.txt

    #Fit from 0.01-0.15 with polymer MFF
#Initial search parameter for I0 = 0.024195974500000002
#Initial search parameter for Rg = 30.000000000000004
#Initial search parameter for nu = 0.499880565034448
#BestFit for I0 = 0.02865 +- 0.00013
#BestFit for I(0)/I0 = 1.00000 +- 0.00469
#BestFit for Rg = 24.26642 +- 0.10768
#BestFit for nu = 0.53887 +- 0.00971
#BestFit reduced chisquared = 1.43227
#-------------
#-------------

    #q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.11000,0.00633,0.00026,0.00633,0.22114,0.00922,0.22092,2.66921,1.57553,0.06568,1.57397
0.11033,0.00645,0.00027,0.00629,0.22526,0.00929,0.21972,2.67731,1.61464,0.06657,1.57498
0.11066,0.00651,0.00027,0.00626,0.22709,0.00932,0.21854,2.68541,1.63764,0.06719,1.57597
0.11100,0.00640,0.00027,0.00623,0.22358,0.00926,0.21736,2.69351,1.62210,0.06717,1.57695
0.11133,0.00627,0.00026,0.00619,0.21886,0.00918,0.21619,2.70161,1.59742,0.06700,1.57792
0.11167,0.00606,0.00026,0.00616,0.21157,0.00906,0.21503,2.70972,1.55348,0.06650,1.57888
0.11200,0.00633,0.00026,0.00613,0.22097,0.00922,0.21388,2.71782,1.63222,0.06807,1.57983
0.11233,0.00646,0.00027,0.00609,0.22539,0.00929,0.21274,2.72592,1.67481,0.06902,1.58076
0.11267,0.00626,0.00026,0.00606,0.21864,0.00918,0.21160,2.73402,1.63429,0.06859,1.58169
0.11300,0.00609,0.00026,0.00603,0.21250,0.00907,0.21047,2.74212,1.59784,0.06822,1.58260
0.11333,0.00579,0.00025,0.00600,0.20218,0.00889,0.20936,2.75022,1.52922,0.06727,1.58350
0.11367,0.00601,0.00026,0.00597,0.20990,0.00903,0.20824,2.75832,1.59697,0.06869,1.58439
0.11400,0.00592,0.00026,0.00593,0.20649,0.00897,0.20714,2.76642,1.58027,0.06864,1.58527
0.11434,0.00634,0.00026,0.00590,0.22127,0.00922,0.20605,2.77452,1.70333,0.07098,1.58614
0.11467,0.00613,0.00026,0.00587,0.21395,0.00910,0.20496,2.78262,1.65661,0.07044,1.58700
0.11500,0.00588,0.00026,0.00584,0.20514,0.00895,0.20388,2.79072,1.59765,0.06967,1.58785
0.11534,0.00615,0.00026,0.00581,0.21470,0.00911,0.20281,2.79882,1.68181,0.07136,1.58869
0.11567,0.00613,0.00026,0.00578,0.21402,0.00910,0.20174,2.80693,1.68622,0.07169,1.58951
0.11600,0.00612,0.00026,0.00575,0.21371,0.00909,0.20069,2.81503,1.69350,0.07206,1.59033
0.11634,0.00609,0.00026,0.00572,0.21274,0.00908,0.19964,2.82313,1.69552,0.07234,1.59114
0.11667,0.00551,0.00025,0.00569,0.19247,0.00872,0.19860,2.83123,1.54283,0.06990,1.59194
0.11701,0.00576,0.00025,0.00566,0.20120,0.00888,0.19756,2.83933,1.62204,0.07156,1.59273
0.11734,0.00573,0.00025,0.00563,0.20008,0.00886,0.19654,2.84743,1.62218,0.07181,1.59350
0.11767,0.00589,0.00026,0.00560,0.20554,0.00895,0.19552,2.85553,1.67596,0.07300,1.59427
0.11801,0.00574,0.00025,0.00557,0.20033,0.00886,0.19451,2.86363,1.64276,0.07266,1.59503
0.11834,0.00581,0.00026,0.00554,0.20290,0.00891,0.19350,2.87173,1.67326,0.07345,1.59578
0.11868,0.00563,0.00025,0.00551,0.19665,0.00880,0.19250,2.87983,1.63094,0.07295,1.59652
0.11901,0.00554,0.00025,0.00549,0.19353,0.00874,0.19151,2.88793,1.61403,0.07289,1.59726
0.11934,0.00525,0.00024,0.00546,0.18330,0.00855,0.19053,2.89604,1.53732,0.07172,1.59798
0.11968,0.00566,0.00025,0.00543,0.19768,0.00881,0.18955,2.90414,1.66720,0.07434,1.59869
0.12001,0.00558,0.00025,0.00540,0.19474,0.00876,0.18858,2.91224,1.65165,0.07431,1.59940
0.12034,0.00540,0.00025,0.00537,0.18845,0.00865,0.18762,2.92034,1.60717,0.07375,1.60009
0.12068,0.00549,0.00025,0.00535,0.19169,0.00871,0.18666,2.92844,1.64389,0.07466,1.60078
0.12101,0.00534,0.00025,0.00532,0.18650,0.00861,0.18571,2.93654,1.60825,0.07426,1.60146
0.12135,0.00566,0.00025,0.00529,0.19749,0.00881,0.18477,2.94464,1.71245,0.07640,1.60212
0.12168,0.00539,0.00025,0.00527,0.18820,0.00864,0.18383,2.95274,1.64085,0.07535,1.60278
0.12201,0.00536,0.00025,0.00524,0.18710,0.00862,0.18290,2.96084,1.64020,0.07559,1.60343
0.12235,0.00547,0.00025,0.00521,0.19094,0.00869,0.18198,2.96894,1.68309,0.07662,1.60407
0.12268,0.00552,0.00025,0.00519,0.19279,0.00873,0.18106,2.97704,1.70864,0.07734,1.60470
0.12302,0.00522,0.00024,0.00516,0.18239,0.00853,0.18015,2.98514,1.62534,0.07605,1.60533
0.12335,0.00527,0.00025,0.00513,0.18390,0.00856,0.17924,2.99324,1.64767,0.07672,1.60594
0.12368,0.00525,0.00024,0.00511,0.18332,0.00855,0.17835,3.00134,1.65138,0.07704,1.60655
0.12402,0.00563,0.00025,0.00508,0.19658,0.00879,0.17745,3.00945,1.78036,0.07965,1.60714
0.12435,0.00549,0.00025,0.00506,0.19176,0.00871,0.17656,3.01755,1.74604,0.07929,1.60773
0.12468,0.00545,0.00025,0.00503,0.19035,0.00868,0.17568,3.02565,1.74253,0.07948,1.60830
0.12502,0.00527,0.00025,0.00501,0.18411,0.00857,0.17481,3.03375,1.69446,0.07885,1.60887
0.12535,0.00555,0.00025,0.00498,0.19368,0.00874,0.17394,3.04185,1.79208,0.08089,1.60943
0.12569,0.00553,0.00025,0.00496,0.19289,0.00873,0.17308,3.04995,1.79433,0.08119,1.60999
0.12602,0.00527,0.00025,0.00493,0.18389,0.00856,0.17222,3.05805,1.71970,0.08008,1.61053
0.12635,0.00514,0.00024,0.00491,0.17939,0.00848,0.17137,3.06615,1.68646,0.07971,1.61107
0.12669,0.00543,0.00025,0.00488,0.18967,0.00867,0.17052,3.07425,1.79257,0.08193,1.61159
0.12702,0.00544,0.00025,0.00486,0.18981,0.00867,0.16968,3.08235,1.80341,0.08239,1.61211
0.12736,0.00545,0.00025,0.00484,0.19017,0.00868,0.16885,3.09045,1.81625,0.08289,1.61263
0.12769,0.00555,0.00025,0.00481,0.19386,0.00875,0.16802,3.09856,1.86130,0.08397,1.61313
0.12802,0.00552,0.00025,0.00479,0.19259,0.00872,0.16719,3.10666,1.85872,0.08418,1.61363
0.12836,0.00537,0.00025,0.00477,0.18754,0.00863,0.16638,3.11476,1.81944,0.08373,1.61412
0.12869,0.00531,0.00025,0.00474,0.18540,0.00859,0.16556,3.12286,1.80803,0.08378,1.61461
0.12902,0.00502,0.00024,0.00472,0.17531,0.00840,0.16476,3.13096,1.71855,0.08235,1.61509
0.12936,0.00529,0.00025,0.00470,0.18454,0.00857,0.16395,3.13906,1.81838,0.08449,1.61556
0.12969,0.00522,0.00024,0.00467,0.18237,0.00853,0.16316,3.14716,1.80632,0.08453,1.61602
0.13003,0.00519,0.00024,0.00465,0.18115,0.00851,0.16237,3.15526,1.80343,0.08474,1.61648
0.13036,0.00503,0.00024,0.00463,0.17565,0.00841,0.16158,3.16336,1.75765,0.08413,1.61693
0.13069,0.00512,0.00024,0.00461,0.17859,0.00846,0.16080,3.17146,1.79632,0.08512,1.61738
0.13103,0.00501,0.00024,0.00458,0.17473,0.00839,0.16003,3.17956,1.76644,0.08481,1.61782
0.13136,0.00503,0.00024,0.00456,0.17574,0.00841,0.15926,3.18766,1.78577,0.08544,1.61825
0.13169,0.00509,0.00024,0.00454,0.17759,0.00844,0.15849,3.19576,1.81373,0.08624,1.61868
0.13203,0.00509,0.00024,0.00452,0.17770,0.00845,0.15773,3.20386,1.82401,0.08670,1.61910
0.13236,0.00503,0.00024,0.00450,0.17546,0.00840,0.15698,3.21196,1.81020,0.08670,1.61952
0.13270,0.00505,0.00024,0.00448,0.17640,0.00842,0.15623,3.22007,1.82905,0.08732,1.61993
0.13303,0.00476,0.00024,0.00445,0.16623,0.00822,0.15549,3.22817,1.73225,0.08570,1.62034
0.13336,0.00467,0.00023,0.00443,0.16304,0.00816,0.15475,3.23627,1.70758,0.08547,1.62074
0.13370,0.00493,0.00024,0.00441,0.17196,0.00834,0.15401,3.24437,1.81001,0.08774,1.62113
0.13403,0.00474,0.00024,0.00439,0.16546,0.00821,0.15328,3.25247,1.75036,0.08684,1.62152
0.13437,0.00453,0.00023,0.00437,0.15804,0.00806,0.15256,3.26057,1.68017,0.08568,1.62191
0.13470,0.00422,0.00022,0.00435,0.14725,0.00783,0.15184,3.26867,1.57325,0.08371,1.62229
0.13503,0.00422,0.00022,0.00433,0.14736,0.00784,0.15112,3.27677,1.58223,0.08415,1.62266
0.13537,0.00414,0.00022,0.00431,0.14437,0.00777,0.15041,3.28487,1.55784,0.08387,1.62303
0.13570,0.00391,0.00022,0.00429,0.13646,0.00760,0.14971,3.29297,1.47971,0.08241,1.62340
0.13603,0.00423,0.00022,0.00427,0.14783,0.00785,0.14901,3.30107,1.61094,0.08551,1.62376
0.13637,0.00403,0.00022,0.00425,0.14053,0.00769,0.14831,3.30918,1.53884,0.08420,1.62412
0.13670,0.00376,0.00021,0.00423,0.13118,0.00748,0.14762,3.31728,1.44359,0.08232,1.62447
0.13704,0.00407,0.00022,0.00421,0.14219,0.00773,0.14693,3.32538,1.57232,0.08543,1.62482
0.13737,0.00444,0.00023,0.00419,0.15510,0.00800,0.14625,3.33348,1.72346,0.08888,1.62516
0.13770,0.00403,0.00022,0.00417,0.14082,0.00770,0.14557,3.34158,1.57247,0.08593,1.62550
0.13804,0.00420,0.00022,0.00415,0.14675,0.00782,0.14490,3.34968,1.64658,0.08779,1.62583
0.13837,0.00427,0.00023,0.00413,0.14904,0.00787,0.14423,3.35778,1.68038,0.08876,1.62616
0.13871,0.00372,0.00021,0.00411,0.12995,0.00745,0.14357,3.36588,1.47222,0.08443,1.62648
0.13904,0.00398,0.00022,0.00409,0.13896,0.00765,0.14291,3.37398,1.58186,0.08714,1.62680
0.13937,0.00394,0.00022,0.00407,0.13743,0.00762,0.14225,3.38208,1.57196,0.08717,1.62712
0.13971,0.00373,0.00021,0.00406,0.13004,0.00745,0.14160,3.39018,1.49454,0.08568,1.62743
0.14004,0.00424,0.00022,0.00404,0.14794,0.00785,0.14095,3.39828,1.70843,0.09064,1.62774
0.14037,0.00393,0.00022,0.00402,0.13733,0.00762,0.14031,3.40638,1.59351,0.08841,1.62804
0.14071,0.00364,0.00021,0.00400,0.12723,0.00739,0.13967,3.41448,1.48336,0.08615,1.62834
0.14104,0.00391,0.00022,0.00398,0.13653,0.00760,0.13903,3.42259,1.59928,0.08904,1.62863
0.14138,0.00357,0.00021,0.00396,0.12457,0.00733,0.13840,3.43069,1.46610,0.08624,1.62892
0.14171,0.00393,0.00022,0.00395,0.13716,0.00762,0.13777,3.43879,1.62195,0.09005,1.62921
0.14204,0.00373,0.00021,0.00393,0.13009,0.00746,0.13715,3.44689,1.54562,0.08858,1.62949
0.14238,0.00405,0.00022,0.00391,0.14136,0.00771,0.13653,3.45499,1.68737,0.09200,1.62976
0.14271,0.00381,0.00022,0.00389,0.13293,0.00752,0.13592,3.46309,1.59418,0.09019,1.63003
0.14305,0.00385,0.00022,0.00388,0.13440,0.00755,0.13530,3.47119,1.61936,0.09101,1.63030
0.14338,0.00359,0.00021,0.00386,0.12531,0.00734,0.13470,3.47929,1.51693,0.08891,1.63056
0.14371,0.00372,0.00021,0.00384,0.12990,0.00745,0.13409,3.48739,1.57982,0.09062,1.63082
0.14405,0.00335,0.00020,0.00382,0.11689,0.00714,0.13349,3.49549,1.42816,0.08728,1.63107
0.14438,0.00331,0.00020,0.00381,0.11557,0.00711,0.13290,3.50359,1.41858,0.08729,1.63132
0.14471,0.00330,0.00020,0.00379,0.11533,0.00711,0.13230,3.51170,1.42224,0.08762,1.63156
0.14505,0.00333,0.00020,0.00377,0.11634,0.00713,0.13171,3.51980,1.44128,0.08833,1.63180
0.14538,0.00355,0.00021,0.00376,0.12387,0.00731,0.13113,3.52790,1.54164,0.09099,1.63203
0.14572,0.00385,0.00022,0.00374,0.13425,0.00755,0.13055,3.53600,1.67859,0.09440,1.63226
0.14605,0.00341,0.00021,0.00372,0.11910,0.00720,0.12997,3.54410,1.49596,0.09040,1.63248
0.14638,0.00300,0.00020,0.00371,0.10468,0.00683,0.12939,3.55220,1.32089,0.08624,1.63270
0.14672,0.00305,0.00020,0.00369,0.10638,0.00688,0.12882,3.56030,1.34843,0.08720,1.63291
0.14705,0.00320,0.00020,0.00367,0.11161,0.00701,0.12825,3.56840,1.42119,0.08929,1.63312
0.14738,0.00346,0.00021,0.00366,0.12092,0.00724,0.12769,3.57650,1.54676,0.09262,1.63333
0.14772,0.00315,0.00020,0.00364,0.10994,0.00697,0.12713,3.58460,1.41269,0.08956,1.63353
0.14805,0.00330,0.00020,0.00363,0.11506,0.00710,0.12657,3.59270,1.48511,0.09162,1.63373
0.14839,0.00326,0.00020,0.00361,0.11370,0.00706,0.12602,3.60080,1.47416,0.09160,1.63392
0.14872,0.00330,0.00020,0.00359,0.11526,0.00710,0.12547,3.60890,1.50114,0.09251,1.63411
0.14905,0.00317,0.00020,0.00358,0.11065,0.00699,0.12492,3.61701,1.44756,0.09142,1.63430
0.14939,0.00325,0.00020,0.00356,0.11340,0.00706,0.12438,3.62511,1.49019,0.09274,1.63448
0.14972,0.00346,0.00021,0.00355,0.12084,0.00724,0.12384,3.63321,1.59511,0.09556,1.63466
0.15006,0.00310,0.00020,0.00353,0.10806,0.00692,0.12330,3.64131,1.43275,0.09178,1.63484
0.15039,0.00328,0.00020,0.00352,0.11466,0.00709,0.12277,3.64941,1.52712,0.09441,1.63502
0.15072,0.00326,0.00020,0.00350,0.11386,0.00707,0.12224,3.65751,1.52313,0.09456,1.63519
0.15106,0.00335,0.00020,0.00349,0.11701,0.00715,0.12171,3.66561,1.57223,0.09602,1.63535
0.15139,0.00317,0.00020,0.00347,0.11049,0.00698,0.12118,3.67371,1.49118,0.09426,1.63552
0.15172,0.00328,0.00020,0.00346,0.11436,0.00708,0.12066,3.68181,1.55025,0.09599,1.63568
0.15206,0.00292,0.00019,0.00344,0.10197,0.00676,0.12015,3.68991,1.38835,0.09209,1.63584
0.15239,0.00300,0.00020,0.00343,0.10458,0.00683,0.11963,3.69801,1.43022,0.09344,1.63599
0.15273,0.00308,0.00020,0.00341,0.10765,0.00691,0.11912,3.70611,1.47862,0.09494,1.63614
0.15306,0.00321,0.00020,0.00340,0.11203,0.00702,0.11861,3.71421,1.54545,0.09688,1.63629
0.15339,0.00312,0.00020,0.00338,0.10892,0.00694,0.11811,3.72232,1.50915,0.09622,1.63644
0.15373,0.00319,0.00020,0.00337,0.11138,0.00701,0.11760,3.73042,1.54990,0.09750,1.63658
0.15406,0.00309,0.00020,0.00335,0.10790,0.00692,0.11711,3.73852,1.50800,0.09669,1.63673
0.15440,0.00327,0.00020,0.00334,0.11415,0.00708,0.11661,3.74662,1.60236,0.09933,1.63687
0.15473,0.00264,0.00019,0.00333,0.09232,0.00650,0.11612,3.75472,1.30156,0.09164,1.63700
0.15506,0.00315,0.00020,0.00331,0.11008,0.00697,0.11563,3.76282,1.55854,0.09874,1.63714
0.15540,0.00337,0.00021,0.00330,0.11752,0.00716,0.11514,3.77092,1.67116,0.10180,1.63727
0.15573,0.00298,0.00020,0.00328,0.10410,0.00682,0.11466,3.77902,1.48669,0.09739,1.63740
0.15606,0.00317,0.00020,0.00327,0.11060,0.00699,0.11417,3.78712,1.58623,0.10021,1.63752
0.15640,0.00300,0.00020,0.00326,0.10486,0.00684,0.11370,3.79522,1.51038,0.09852,1.63765
0.15673,0.00285,0.00019,0.00324,0.09965,0.00670,0.11322,3.80332,1.44139,0.09694,1.63777
0.15707,0.00277,0.00019,0.00323,0.09686,0.00663,0.11275,3.81143,1.40701,0.09625,1.63789
0.15740,0.00323,0.00020,0.00322,0.11261,0.00704,0.11228,3.81953,1.64290,0.10267,1.63801
0.15773,0.00317,0.00020,0.00320,0.11075,0.00699,0.11181,3.82763,1.62264,0.10242,1.63812
0.15807,0.00302,0.00020,0.00319,0.10550,0.00686,0.11135,3.83573,1.55218,0.10088,1.63824
0.15840,0.00302,0.00020,0.00318,0.10557,0.00686,0.11089,3.84383,1.55982,0.10133,1.63835
0.15873,0.00293,0.00019,0.00316,0.10220,0.00677,0.11043,3.85193,1.51642,0.10045,1.63846
0.15907,0.00283,0.00019,0.00315,0.09887,0.00668,0.10997,3.86003,1.47314,0.09954,1.63856
0.15940,0.00264,0.00019,0.00314,0.09217,0.00650,0.10952,3.86813,1.37901,0.09719,1.63867
0.15974,0.00264,0.00019,0.00312,0.09216,0.00650,0.10907,3.87623,1.38477,0.09760,1.63877
0.16007,0.00241,0.00018,0.00311,0.08401,0.00626,0.10862,3.88433,1.26752,0.09444,1.63887
0.16040,0.00274,0.00019,0.00310,0.09557,0.00659,0.10818,3.89243,1.44802,0.09985,1.63896
0.16074,0.00289,0.00019,0.00309,0.10104,0.00674,0.10773,3.90053,1.53726,0.10253,1.63906
0.16107,0.00272,0.00019,0.00307,0.09494,0.00657,0.10729,3.90863,1.45049,0.10042,1.63915
0.16141,0.00287,0.00019,0.00306,0.10013,0.00671,0.10685,3.91673,1.53601,0.10300,1.63924
0.16174,0.00255,0.00018,0.00305,0.08897,0.00640,0.10642,3.92483,1.37048,0.09866,1.63933
0.16207,0.00272,0.00019,0.00304,0.09508,0.00658,0.10599,3.93294,1.47073,0.10173,1.63941
0.16241,0.00264,0.00019,0.00302,0.09217,0.00650,0.10556,3.94104,1.43161,0.10089,1.63950
0.16274,0.00249,0.00018,0.00301,0.08694,0.00635,0.10513,3.94914,1.35583,0.09896,1.63958
0.16307,0.00284,0.00019,0.00300,0.09929,0.00669,0.10471,3.95724,1.55492,0.10480,1.63965
0.16341,0.00286,0.00019,0.00299,0.09975,0.00670,0.10428,3.96534,1.56843,0.10542,1.63973
0.16374,0.00282,0.00019,0.00298,0.09836,0.00667,0.10386,3.97344,1.55292,0.10526,1.63980
0.16408,0.00242,0.00018,0.00296,0.08452,0.00627,0.10344,3.98154,1.33992,0.09947,1.63987
0.16441,0.00285,0.00019,0.00295,0.09957,0.00670,0.10303,3.98964,1.58496,0.10664,1.63994
0.16474,0.00264,0.00019,0.00294,0.09199,0.00649,0.10262,3.99774,1.47024,0.10373,1.64000
0.16508,0.00233,0.00018,0.00293,0.08134,0.00618,0.10221,4.00584,1.30520,0.09915,1.64006
0.16541,0.00236,0.00018,0.00292,0.08250,0.00621,0.10180,4.01394,1.32929,0.10012,1.64012
0.16575,0.00240,0.00018,0.00290,0.08379,0.00625,0.10139,4.02205,1.35548,0.10115,1.64018
0.16608,0.00247,0.00018,0.00289,0.08606,0.00632,0.10099,4.03015,1.39782,0.10265,1.64023
0.16641,0.00250,0.00018,0.00288,0.08730,0.00636,0.10058,4.03825,1.42359,0.10365,1.64028
0.16675,0.00286,0.00019,0.00287,0.09989,0.00671,0.10019,4.04635,1.63551,0.10983,1.64033
0.16708,0.00269,0.00019,0.00286,0.09393,0.00655,0.09979,4.05445,1.54409,0.10759,1.64037
0.16741,0.00225,0.00017,0.00285,0.07857,0.00609,0.09939,4.06255,1.29672,0.10057,1.64042
0.16775,0.00251,0.00018,0.00284,0.08762,0.00637,0.09900,4.07065,1.45186,0.10548,1.64046
0.16808,0.00248,0.00018,0.00282,0.08668,0.00634,0.09861,4.07875,1.44197,0.10544,1.64049
0.16842,0.00279,0.00019,0.00281,0.09726,0.00664,0.09822,4.08685,1.62446,0.11085,1.64053
0.16875,0.00211,0.00017,0.00280,0.07362,0.00594,0.09784,4.09495,1.23449,0.09956,1.64056
0.16908,0.00236,0.00018,0.00279,0.08221,0.00621,0.09745,4.10305,1.38404,0.10447,1.64059
0.16942,0.00224,0.00017,0.00278,0.07807,0.00608,0.09707,4.11115,1.31954,0.10273,1.64062
0.16975,0.00241,0.00018,0.00277,0.08430,0.00627,0.09669,4.11925,1.43046,0.10636,1.64065
0.17008,0.00219,0.00017,0.00276,0.07641,0.00603,0.09631,4.12735,1.30164,0.10266,1.64068
0.17042,0.00253,0.00018,0.00275,0.08843,0.00639,0.09594,4.13546,1.51231,0.10926,1.64070
0.17075,0.00205,0.00017,0.00274,0.07166,0.00587,0.09556,4.14356,1.23036,0.10084,1.64072
0.17109,0.00218,0.00017,0.00273,0.07609,0.00602,0.09519,4.15166,1.31146,0.10369,1.64074
0.17142,0.00219,0.00017,0.00272,0.07657,0.00603,0.09482,4.15976,1.32498,0.10436,1.64076
0.17175,0.00271,0.00019,0.00271,0.09461,0.00656,0.09445,4.16786,1.64352,0.11402,1.64077
0.17209,0.00224,0.00017,0.00270,0.07825,0.00608,0.09409,4.17596,1.36453,0.10609,1.64079
0.17242,0.00223,0.00017,0.00268,0.07783,0.00607,0.09373,4.18406,1.36248,0.10628,1.64080
0.17276,0.00224,0.00017,0.00267,0.07836,0.00609,0.09336,4.19216,1.37718,0.10698,1.64081
0.17309,0.00271,0.00019,0.00266,0.09453,0.00656,0.09301,4.20026,1.66770,0.11576,1.64082
0.17342,0.00261,0.00019,0.00265,0.09112,0.00647,0.09265,4.20836,1.61378,0.11451,1.64083
0.17376,0.00256,0.00018,0.00264,0.08929,0.00641,0.09229,4.21646,1.58740,0.11403,1.64084
0.17409,0.00209,0.00017,0.00263,0.07299,0.00592,0.09194,4.22457,1.30268,0.10560,1.64084
0.17442,0.00185,0.00016,0.00262,0.06467,0.00564,0.09159,4.23267,1.15864,0.10100,1.64084
0.17476,0.00210,0.00017,0.00261,0.07319,0.00592,0.09124,4.24077,1.31627,0.10653,1.64085
0.17509,0.00200,0.00017,0.00260,0.06983,0.00581,0.09089,4.24887,1.26066,0.10494,1.64085
0.17543,0.00217,0.00017,0.00259,0.07578,0.00601,0.09055,4.25697,1.37333,0.10885,1.64085
0.17576,0.00216,0.00017,0.00258,0.07530,0.00599,0.09020,4.26507,1.36972,0.10898,1.64084
0.17609,0.00251,0.00018,0.00257,0.08768,0.00637,0.08986,4.27317,1.60101,0.11626,1.64084
0.17643,0.00255,0.00018,0.00256,0.08901,0.00641,0.08952,4.28127,1.63158,0.11741,1.64084
0.17676,0.00195,0.00016,0.00255,0.06791,0.00575,0.08918,4.28937,1.24954,0.10577,1.64083
0.17710,0.00229,0.00018,0.00255,0.07995,0.00614,0.08885,4.29747,1.47654,0.11333,1.64082
0.17743,0.00180,0.00016,0.00254,0.06286,0.00557,0.08851,4.30557,1.16522,0.10332,1.64081
0.17776,0.00206,0.00017,0.00253,0.07197,0.00588,0.08818,4.31367,1.33915,0.10948,1.64080
0.17810,0.00238,0.00018,0.00252,0.08320,0.00624,0.08785,4.32177,1.55404,0.11646,1.64079
0.17843,0.00221,0.00017,0.00251,0.07720,0.00605,0.08752,4.32987,1.44724,0.11344,1.64078
0.17876,0.00227,0.00018,0.00250,0.07936,0.00612,0.08719,4.33798,1.49336,0.11513,1.64076
0.17910,0.00196,0.00017,0.00249,0.06828,0.00576,0.08687,4.34608,1.28971,0.10882,1.64075
0.17943,0.00199,0.00017,0.00248,0.06961,0.00581,0.08654,4.35418,1.31970,0.11007,1.64073
0.17977,0.00186,0.00016,0.00247,0.06493,0.00565,0.08622,4.36228,1.23554,0.10745,1.64071
0.18010,0.00210,0.00017,0.00246,0.07338,0.00593,0.08590,4.37038,1.40158,0.11326,1.64069
0.18043,0.00215,0.00017,0.00245,0.07500,0.00598,0.08558,4.37848,1.43791,0.11468,1.64067
0.18077,0.00199,0.00017,0.00244,0.06960,0.00581,0.08526,4.38658,1.33918,0.11171,1.64065
0.18110,0.00212,0.00017,0.00243,0.07385,0.00594,0.08495,4.39468,1.42630,0.11481,1.64063
0.18144,0.00257,0.00018,0.00242,0.08975,0.00643,0.08463,4.40278,1.73982,0.12458,1.64060
0.18177,0.00236,0.00018,0.00242,0.08231,0.00621,0.08432,4.41088,1.60141,0.12079,1.64058
0.18210,0.00201,0.00017,0.00241,0.07032,0.00583,0.08401,4.41898,1.37313,0.11383,1.64055
0.18244,0.00176,0.00016,0.00240,0.06130,0.00552,0.08370,4.42708,1.20149,0.10815,1.64052
0.18277,0.00211,0.00017,0.00239,0.07360,0.00594,0.08340,4.43519,1.44772,0.11678,1.64049
0.18310,0.00204,0.00017,0.00238,0.07114,0.00586,0.08309,4.44329,1.40448,0.11562,1.64046
0.18344,0.00204,0.00017,0.00237,0.07118,0.00586,0.08279,4.45139,1.41048,0.11607,1.64042
0.18377,0.00200,0.00017,0.00236,0.06976,0.00581,0.08249,4.45949,1.38725,0.11556,1.64039
0.18411,0.00179,0.00016,0.00235,0.06252,0.00556,0.08218,4.46759,1.24794,0.11101,1.64035
0.18444,0.00154,0.00015,0.00235,0.05369,0.00523,0.08189,4.47569,1.07541,0.10482,1.64031
0.18477,0.00186,0.00016,0.00234,0.06486,0.00564,0.08159,4.48379,1.30400,0.11347,1.64027
0.18511,0.00215,0.00017,0.00233,0.07507,0.00598,0.08129,4.49189,1.51468,0.12073,1.64023
0.18544,0.00179,0.00016,0.00232,0.06239,0.00556,0.08100,4.49999,1.26330,0.11252,1.64019
0.18577,0.00201,0.00017,0.00231,0.07033,0.00583,0.08070,4.50809,1.42935,0.11848,1.64014
0.18611,0.00199,0.00017,0.00230,0.06958,0.00580,0.08041,4.51619,1.41914,0.11839,1.64009
0.18644,0.00183,0.00016,0.00230,0.06405,0.00562,0.08012,4.52430,1.31098,0.11494,1.64004
0.18678,0.00184,0.00016,0.00229,0.06439,0.00563,0.07983,4.53240,1.32270,0.11560,1.63999
0.18711,0.00208,0.00017,0.00228,0.07256,0.00590,0.07955,4.54050,1.49591,0.12170,1.63994
0.18744,0.00179,0.00016,0.00227,0.06231,0.00555,0.07926,4.54860,1.28928,0.11492,1.63989
0.18778,0.00163,0.00015,0.00226,0.05677,0.00535,0.07898,4.55670,1.17866,0.11110,1.63983
0.18811,0.00229,0.00018,0.00225,0.07986,0.00613,0.07869,4.56480,1.66415,0.12781,1.63977
0.18845,0.00182,0.00016,0.00225,0.06350,0.00560,0.07841,4.57290,1.32791,0.11703,1.63971
0.18878,0.00167,0.00015,0.00224,0.05829,0.00541,0.07813,4.58100,1.22335,0.11349,1.63965
0.18911,0.00169,0.00016,0.00223,0.05915,0.00544,0.07785,4.58910,1.24560,0.11455,1.63959
0.18945,0.00187,0.00016,0.00222,0.06528,0.00566,0.07758,4.59720,1.37964,0.11959,1.63953
0.18978,0.00211,0.00017,0.00221,0.07361,0.00594,0.07730,4.60530,1.56116,0.12591,1.63946
0.19011,0.00191,0.00016,0.00221,0.06675,0.00571,0.07703,4.61340,1.42063,0.12151,1.63940
0.19045,0.00183,0.00016,0.00220,0.06385,0.00561,0.07675,4.62150,1.36367,0.11979,1.63933
0.19078,0.00175,0.00016,0.00219,0.06097,0.00551,0.07648,4.62960,1.30671,0.11801,1.63926
0.19112,0.00176,0.00016,0.00218,0.06149,0.00552,0.07621,4.63771,1.32264,0.11883,1.63919
0.19145,0.00176,0.00016,0.00218,0.06158,0.00553,0.07594,4.64581,1.32907,0.11931,1.63912
0.19178,0.00182,0.00016,0.00217,0.06337,0.00559,0.07568,4.65391,1.37260,0.12111,1.63905
0.19212,0.00191,0.00016,0.00216,0.06654,0.00570,0.07541,4.66201,1.44628,0.12393,1.63897
0.19245,0.00192,0.00016,0.00215,0.06712,0.00572,0.07514,4.67011,1.46392,0.12479,1.63890
