index, quantile, uniprot, number of domains, S over T mean
0, 30, Q03124, 2, 0.203
0, 30, P36007, 2, 0.2032
0, 30, Q04601, 3, 0.2033
0, 30, Q12052, 1, 0.2033
0, 30, Q03178, 1, 0.2034
0, 30, P40308, 3, 0.2035
0, 30, P54790, 3, 0.2035
0, 30, P53038, 2, 0.2036
0, 30, P34228, 4, 0.2037
0, 30, P32945, 1, 0.2039
0, 30, Q04924, 3, 0.2039
0, 30, P53304, 2, 0.204
0, 30, P32451, 1, 0.2042
0, 30, Q03899, 2, 0.2042
0, 30, P32364, 2, 0.2043
0, 30, P53086, 2, 0.2043
0, 30, Q12495, 1, 0.2043
0, 30, Q02260, 1, 0.2045
0, 30, Q12317, 2, 0.2045
0, 30, P08018, 2, 0.2046
0, 30, P32473, 2, 0.2047
0, 30, P47988, 2, 0.2048
0, 30, P16522, 2, 0.205
0, 30, P38291, 1, 0.2051
0, 30, Q03780, 1, 0.2053
0, 30, P29366, 2, 0.2054
0, 30, P50102, 3, 0.2054
0, 30, Q00916, 1, 0.2054
0, 30, Q12186, 2, 0.2056
0, 30, P32776, 3, 0.2057
0, 30, P35184, 1, 0.206
0, 30, P23369, 1, 0.2062
0, 30, P38870, 3, 0.2062
0, 30, P47156, 3, 0.2062
0, 30, P32908, 5, 0.2063
0, 30, P47150, 1, 0.2063
0, 30, P40210, 1, 0.2065
0, 30, P43565, 4, 0.2066
0, 30, P46974, 1, 0.2066
0, 30, P04803, 1, 0.2067
0, 30, P47043, 1, 0.2067
0, 30, P32464, 1, 0.2068
0, 30, P38987, 1, 0.2069
0, 30, P53538, 1, 0.207
0, 30, Q06821, 2, 0.2071
0, 30, P22134, 1, 0.2072
0, 30, P40079, 2, 0.2073
0, 30, P47017, 1, 0.2073
0, 30, P53165, 1, 0.2073
0, 30, P17558, 2, 0.2075
0, 30, Q08963, 1, 0.2075
0, 30, P39965, 3, 0.2076
0, 30, P10964, 7, 0.2077
0, 30, P34111, 5, 0.2079
0, 30, P53857, 1, 0.2079
0, 30, P06784, 1, 0.208
0, 30, Q12180, 2, 0.208
0, 30, P34162, 1, 0.2081
0, 30, Q05949, 2, 0.2081
0, 30, Q03361, 1, 0.2083
0, 30, Q12257, 1, 0.2083
0, 30, P32904, 1, 0.2085
0, 30, Q08278, 1, 0.2085
0, 30, P04786, 3, 0.2086
0, 30, P05738, 1, 0.2086
0, 30, Q06098, 2, 0.2087
0, 30, Q12267, 4, 0.2088
0, 30, P07236, 2, 0.2089
0, 30, P38805, 1, 0.2089
0, 30, Q12309, 2, 0.2091
0, 30, P36124, 1, 0.2092
0, 30, Q06251, 2, 0.2092
0, 30, P33332, 3, 0.2093
0, 30, P40559, 2, 0.2094
0, 30, P47084, 2, 0.2095
0, 30, P38754, 1, 0.2096
0, 30, P53911, 1, 0.2096
0, 30, Q07821, 1, 0.2096
0, 30, Q08496, 3, 0.2096
0, 30, Q01163, 2, 0.2097
0, 30, Q03018, 5, 0.2097
0, 30, P53167, 2, 0.2099
0, 30, P33748, 1, 0.21
0, 30, P38121, 3, 0.2102
0, 30, P53094, 3, 0.2102
0, 30, Q06554, 5, 0.2103
0, 30, P0C2J3, 5, 0.2105
0, 30, P32504, 3, 0.2105
0, 30, P35208, 2, 0.2105
0, 30, Q03667, 1, 0.2106
0, 30, P51998, 1, 0.2107
0, 30, Q12481, 1, 0.2108
0, 30, P0C0W9, 1, 0.2109
0, 30, P38772, 1, 0.2109
0, 30, P42847, 1, 0.2111
0, 30, P22353, 1, 0.2112
0, 30, P39525, 2, 0.2112
0, 30, P48234, 2, 0.2112
0, 30, P40024, 2, 0.2113
0, 30, Q12100, 2, 0.2113
0, 30, P40083, 1, 0.2114
0, 30, Q04399, 2, 0.2114
0, 30, P25632, 2, 0.2115
0, 30, P46671, 1, 0.2115
0, 30, Q02804, 1, 0.2115
0, 30, Q06511, 1, 0.2116
0, 30, Q12214, 1, 0.2116
0, 30, P29453, 1, 0.2117
0, 30, P38692, 1, 0.2117
0, 30, P09440, 4, 0.2118
0, 30, P53968, 1, 0.2119
0, 30, P53207, 1, 0.2122
0, 30, Q03088, 1, 0.2123
0, 30, P43634, 2, 0.2124
0, 30, Q02892, 2, 0.2124
0, 30, Q06214, 1, 0.2124
0, 30, P25623, 3, 0.2125
0, 30, P42843, 4, 0.2125
0, 30, P28004, 1, 0.2127
0, 30, Q07896, 2, 0.2127
0, 30, P53333, 2, 0.2129
0, 30, P40991, 1, 0.213
0, 30, P47072, 2, 0.2131
0, 30, P48527, 2, 0.2131
0, 30, Q02208, 1, 0.2133
0, 30, P53010, 4, 0.2134
0, 30, Q12102, 2, 0.2134
0, 30, P38334, 1, 0.2137
0, 30, Q04005, 1, 0.2137
0, 30, P47141, 1, 0.2139
0, 30, P48743, 2, 0.214
0, 30, Q06344, 1, 0.214
0, 30, Q99278, 1, 0.214
0, 30, Q02685, 1, 0.2141
0, 30, Q12024, 1, 0.2142
0, 30, P47031, 2, 0.2143
0, 30, P53685, 2, 0.2143
0, 30, P25626, 1, 0.2145
0, 30, P32605, 1, 0.2147
0, 30, P33893, 2, 0.2147
0, 30, P38147, 3, 0.2147
0, 30, Q04471, 1, 0.2147
0, 30, P50275, 2, 0.2148
0, 30, P15436, 5, 0.2149
0, 30, P38884, 1, 0.2149
0, 30, P25555, 2, 0.215
0, 30, Q08282, 2, 0.215
0, 30, P21771, 1, 0.2151
0, 30, P32597, 4, 0.2152
0, 30, P36075, 3, 0.2152
0, 30, P36084, 2, 0.2152
0, 30, P53850, 1, 0.2153
0, 30, Q04049, 3, 0.2154
0, 30, P25046, 1, 0.2155
0, 30, P32902, 2, 0.2155
0, 30, Q02724, 1, 0.2156
0, 30, Q04673, 1, 0.2157
0, 30, Q08421, 1, 0.2158
0, 30, P19812, 6, 0.2159
0, 30, Q05900, 2, 0.2159
0, 30, P23248, 1, 0.216
0, 30, Q01919, 1, 0.216
0, 30, P32523, 1, 0.2162
0, 30, P36160, 1, 0.2163
0, 30, P53101, 2, 0.2163
0, 30, P53617, 2, 0.2163
0, 30, P35201, 1, 0.2164
0, 30, P38198, 4, 0.2164
0, 30, P36126, 6, 0.2166
0, 30, P47127, 1, 0.2166
0, 30, P32591, 2, 0.2167
0, 30, P53114, 4, 0.2167
0, 30, Q12440, 3, 0.2167
0, 30, P04051, 7, 0.2168
0, 30, Q04347, 1, 0.2169
0, 30, Q07084, 1, 0.2171
0, 30, Q02457, 1, 0.2173
0, 30, P32793, 1, 0.2174
0, 30, Q03776, 2, 0.2174
0, 30, P05453, 2, 0.2175
0, 30, P20424, 3, 0.2175
0, 30, P38786, 1, 0.2175
0, 30, P47136, 2, 0.2175
0, 30, P36534, 1, 0.2176
0, 30, P52868, 1, 0.2176
0, 30, Q06178, 1, 0.2177
0, 30, P43639, 1, 0.2179
0, 30, P39720, 3, 0.218
0, 30, P40352, 4, 0.2182
0, 30, Q08873, 1, 0.2183
0, 30, P38990, 1, 0.2184
0, 30, P35728, 2, 0.2185
0, 30, P36041, 1, 0.2186
0, 30, Q06349, 1, 0.2186
0, 30, P25642, 1, 0.2187
0, 30, P06243, 2, 0.2188
0, 30, P40537, 2, 0.2189
0, 30, P43638, 4, 0.2191
0, 30, P53158, 1, 0.2191
0, 30, P22082, 4, 0.2192
0, 30, P46676, 1, 0.2192
0, 30, Q08444, 2, 0.2192
0, 30, P35734, 1, 0.2193
0, 30, P12686, 1, 0.2194
0, 30, P32875, 1, 0.2194
0, 30, Q12060, 1, 0.2196
0, 30, P10363, 2, 0.2197
0, 30, Q07454, 2, 0.2197
0, 30, P39946, 1, 0.2199
0, 30, P25491, 2, 0.22
0, 30, Q03508, 2, 0.22
0, 30, P32805, 1, 0.2203
0, 30, P34239, 2, 0.2203
0, 30, P38985, 1, 0.2204
0, 30, P12687, 1, 0.2205
0, 30, P13393, 1, 0.2205
0, 30, P40523, 1, 0.2205
0, 30, P33339, 4, 0.2206
0, 30, P43554, 2, 0.2206
0, 30, P53378, 1, 0.2207
0, 30, Q12345, 1, 0.2208
0, 30, P17890, 1, 0.221
0, 30, P18480, 2, 0.2212
0, 30, Q12083, 2, 0.2213
0, 30, Q12230, 1, 0.2213
0, 30, P16664, 2, 0.2214
0, 30, Q02608, 1, 0.2214
0, 30, P47074, 1, 0.2215
0, 30, P06701, 4, 0.2216
0, 30, P32892, 2, 0.2216
0, 30, P27636, 3, 0.2218
0, 30, P32599, 4, 0.2218
0, 30, Q01329, 3, 0.2218
0, 30, P41813, 2, 0.222
0, 30, P29295, 2, 0.2221
0, 30, P38779, 1, 0.2222
0, 30, P32831, 1, 0.2223
0, 30, P35999, 4, 0.2224
0, 30, Q05549, 4, 0.2224
0, 30, P32570, 1, 0.2225
0, 30, Q07622, 1, 0.2225
0, 30, P26309, 1, 0.2226
0, 30, P28320, 1, 0.2226
0, 30, P33301, 2, 0.2226
0, 30, P35172, 3, 0.2226
0, 30, P38889, 1, 0.2227
0, 30, P00729, 2, 0.2228
0, 30, P53145, 2, 0.2228
0, 30, P54784, 4, 0.2228
0, 30, P22149, 1, 0.2233
0, 30, P32505, 1, 0.2233
0, 30, Q04226, 1, 0.2233
0, 30, Q12222, 2, 0.2234
0, 30, P07266, 1, 0.2236
0, 30, P40018, 1, 0.2236
0, 30, Q03016, 2, 0.224
0, 30, P38922, 2, 0.2241
0, 30, P38915, 2, 0.2242
0, 30, P26364, 1, 0.2244
0, 30, P38339, 2, 0.2244
0, 30, Q04299, 1, 0.2246
0, 30, P40571, 1, 0.2247
0, 30, P19263, 5, 0.2248
0, 30, Q03796, 1, 0.2248
0, 30, P32561, 1, 0.2249
0, 30, P08964, 6, 0.225
0, 30, Q02939, 3, 0.225
0, 30, Q99394, 1, 0.2251
0, 30, P32910, 1, 0.2252
0, 30, Q04748, 3, 0.2253
0, 30, Q12454, 1, 0.2255
0, 30, Q04377, 2, 0.2256
0, 30, P53628, 2, 0.2257
0, 30, P31376, 2, 0.2259
0, 30, P38313, 1, 0.2259
0, 30, P39735, 1, 0.2263
0, 30, P38989, 6, 0.2266
0, 30, P40505, 1, 0.2266
0, 30, Q06688, 1, 0.227
0, 30, Q12108, 2, 0.227
0, 30, Q03305, 2, 0.2271
0, 30, P46944, 3, 0.2274
0, 30, P36168, 4, 0.2275
0, 30, P47051, 1, 0.2275
0, 30, Q03771, 1, 0.2275
0, 30, P32387, 1, 0.2276
0, 30, P33334, 8, 0.2276
0, 30, P38255, 1, 0.2276
0, 30, P39014, 3, 0.2279
0, 30, Q03337, 1, 0.2279
0, 30, P10080, 1, 0.228
0, 30, P47168, 1, 0.2281
0, 30, P40357, 2, 0.2282
0, 30, Q12199, 2, 0.2282
0, 30, Q99177, 1, 0.2282
0, 30, P36521, 1, 0.2284
0, 30, Q03690, 5, 0.2284
0, 30, Q12158, 2, 0.2284
0, 30, P36003, 2, 0.2286
0, 30, Q07845, 3, 0.2286
0, 30, P32480, 2, 0.2289
0, 30, P53185, 2, 0.2289
0, 30, P53632, 2, 0.2291
0, 30, P32566, 2, 0.2292
0, 30, Q04412, 1, 0.2292
0, 30, P02994, 2, 0.2293
0, 30, P25336, 4, 0.2294
0, 30, Q3E705, 1, 0.2294
0, 30, Q12055, 1, 0.2297
0, 30, P25374, 2, 0.2298
0, 30, P47147, 2, 0.2298
0, 30, P38885, 1, 0.2299
0, 30, P31334, 1, 0.23
0, 30, P40535, 2, 0.23
0, 30, P53235, 2, 0.23
0, 30, P27929, 2, 0.2301
0, 30, P43596, 2, 0.2302
0, 30, P53923, 2, 0.2304
0, 42, P39110, 1, 0.2304
0, 42, P53874, 2, 0.2304
0, 42, Q06350, 1, 0.2304
0, 42, P38304, 1, 0.2306
0, 42, Q12321, 2, 0.2307
0, 42, P36094, 1, 0.2308
0, 42, Q12020, 2, 0.2308
0, 42, Q12420, 1, 0.2308
0, 42, P48237, 3, 0.2309
0, 42, P40078, 1, 0.2311
0, 42, Q12433, 1, 0.2312
0, 42, P53261, 3, 0.2313
0, 42, P18888, 1, 0.2314
0, 42, P00045, 1, 0.2315
0, 42, P53115, 5, 0.2315
0, 42, Q04545, 2, 0.2315
0, 42, P36070, 2, 0.2317
0, 42, Q06063, 1, 0.2317
0, 42, P38782, 2, 0.2318
0, 42, P19659, 3, 0.232
0, 42, P33203, 1, 0.232
0, 42, P53314, 1, 0.232
0, 42, P10662, 1, 0.2321
0, 42, Q02574, 1, 0.2324
0, 42, P38998, 2, 0.2325
0, 42, P53870, 2, 0.2325
0, 42, P32806, 2, 0.2326
0, 42, O13329, 2, 0.2327
0, 42, Q00723, 1, 0.2327
0, 42, P32494, 1, 0.2328
0, 42, P46947, 1, 0.2329
0, 42, Q12213, 1, 0.2329
0, 42, P38789, 2, 0.233
0, 42, Q04689, 2, 0.2331
0, 42, P38853, 3, 0.2332
0, 42, Q08484, 1, 0.2336
0, 42, P0CE41, 3, 0.2337
0, 42, P00044, 1, 0.2338
0, 42, Q04235, 1, 0.2341
0, 42, P53833, 1, 0.2345
0, 42, Q02873, 1, 0.2345
0, 42, Q12046, 1, 0.2346
0, 42, P39927, 2, 0.2348
0, 42, P53236, 3, 0.2348
0, 42, P36056, 2, 0.235
0, 42, Q06685, 4, 0.235
0, 42, P38278, 2, 0.2353
0, 42, P22516, 3, 0.2354
0, 42, P25649, 1, 0.2354
0, 42, P32432, 2, 0.2354
0, 42, P40033, 1, 0.2355
0, 42, P36102, 2, 0.2357
0, 42, Q06156, 4, 0.2357
0, 42, P35197, 1, 0.2358
0, 42, P36520, 1, 0.2358
0, 42, Q12494, 1, 0.2358
0, 42, P38321, 3, 0.2359
0, 42, P40987, 3, 0.236
0, 42, P41819, 2, 0.2364
0, 42, P43597, 1, 0.2364
0, 42, Q04868, 1, 0.2364
0, 42, P39104, 4, 0.2367
0, 42, P10664, 1, 0.2368
0, 42, P38187, 2, 0.2369
0, 42, P43535, 2, 0.2369
0, 42, Q04779, 1, 0.237
0, 42, Q04089, 2, 0.2371
0, 42, P53258, 4, 0.2372
0, 42, Q02792, 1, 0.2373
0, 42, P36097, 3, 0.2374
0, 42, Q12367, 1, 0.2374
0, 42, P06839, 3, 0.2375
0, 42, P09119, 3, 0.2375
0, 42, P53248, 1, 0.2375
0, 42, P32639, 8, 0.2377
0, 42, P38336, 1, 0.2377
0, 42, P39939, 1, 0.2377
0, 42, P33442, 1, 0.2378
0, 42, P38170, 2, 0.2378
0, 42, P50947, 1, 0.2379
0, 42, P53732, 1, 0.2379
0, 42, P53616, 1, 0.2381
0, 42, Q07533, 2, 0.2381
0, 42, P38682, 1, 0.2383
0, 42, P36141, 1, 0.2384
0, 42, P52920, 1, 0.2384
0, 42, P53919, 1, 0.2384
0, 42, Q05123, 2, 0.2384
0, 42, P32829, 3, 0.2385
0, 42, Q03941, 1, 0.2385
0, 42, P40038, 2, 0.2386
0, 42, P53873, 1, 0.2387
0, 42, Q03702, 1, 0.2387
0, 42, P19454, 2, 0.2388
0, 42, P38877, 1, 0.2389
0, 42, P39956, 1, 0.2391
0, 42, P52892, 2, 0.2391
0, 42, Q04213, 2, 0.2391
0, 42, P0C2I6, 4, 0.2392
0, 42, P33399, 1, 0.2392
0, 42, P40014, 1, 0.2395
0, 42, Q12153, 1, 0.2396
0, 42, P53540, 5, 0.2397
0, 42, P33417, 1, 0.24
0, 42, P32844, 4, 0.2403
0, 42, P53072, 1, 0.2404
0, 42, P47116, 1, 0.2405
0, 42, P38850, 5, 0.2411
0, 42, Q05543, 2, 0.2413
0, 42, P35207, 4, 0.2414
0, 42, P53068, 1, 0.2416
0, 42, P40467, 1, 0.2417
0, 42, P47172, 2, 0.2417
0, 42, P40460, 3, 0.2419
0, 42, P24870, 2, 0.2421
0, 42, P38784, 1, 0.2424
0, 42, Q03012, 1, 0.2424
0, 42, P40562, 3, 0.2425
0, 42, Q12406, 3, 0.2425
0, 42, Q12532, 5, 0.2425
0, 42, P05743, 1, 0.2426
0, 42, P36149, 1, 0.2426
0, 42, P38337, 1, 0.2427
0, 42, P53278, 2, 0.2427
0, 42, Q04408, 1, 0.2429
0, 42, Q06168, 1, 0.243
0, 42, P38282, 1, 0.2432
0, 42, P32833, 2, 0.2433
0, 42, Q12385, 1, 0.2435
0, 42, P13712, 1, 0.2436
0, 42, P53063, 1, 0.2436
0, 42, P46678, 1, 0.2438
0, 42, P46949, 1, 0.2438
0, 42, Q12149, 2, 0.2438
0, 42, P47149, 1, 0.2439
0, 42, Q12368, 1, 0.2441
0, 42, P28778, 1, 0.2443
0, 42, P38861, 3, 0.2443
0, 42, Q12493, 1, 0.2446
0, 42, P53135, 2, 0.2447
0, 42, P12611, 2, 0.2448
0, 42, P28263, 1, 0.2449
0, 42, P53244, 2, 0.2449
0, 42, Q03784, 1, 0.2449
0, 42, Q02197, 2, 0.2451
0, 42, P27637, 1, 0.2452
0, 42, P38319, 2, 0.2452
0, 42, Q12510, 2, 0.2452
0, 42, P38351, 1, 0.2453
0, 42, P47166, 2, 0.2453
0, 42, P06779, 1, 0.2454
0, 42, P54730, 1, 0.2454
0, 42, Q03649, 1, 0.2454
0, 42, Q03976, 1, 0.2454
0, 42, Q08004, 1, 0.2454
0, 42, Q08686, 2, 0.2454
0, 42, P07273, 1, 0.2456
0, 42, P40968, 1, 0.2456
0, 42, Q12208, 1, 0.2456
0, 42, P53270, 1, 0.2457
0, 42, P53724, 1, 0.2457
0, 42, P47171, 6, 0.2458
0, 42, P38175, 1, 0.2459
0, 42, P24784, 2, 0.2461
0, 42, P40356, 1, 0.2461
0, 42, P09064, 1, 0.2463
0, 42, P26784, 1, 0.2464
0, 42, P29055, 2, 0.2464
0, 42, P32342, 1, 0.2464
0, 42, Q04781, 6, 0.2465
0, 42, P11075, 6, 0.2466
0, 42, P35187, 2, 0.2466
0, 42, Q03201, 1, 0.2466
0, 42, P33202, 7, 0.2467
0, 42, Q02206, 2, 0.2468
0, 42, Q04093, 3, 0.2468
0, 42, P33411, 1, 0.247
0, 42, P38874, 1, 0.2471
0, 42, P53438, 1, 0.2472
0, 42, P54858, 1, 0.2472
0, 42, Q06525, 1, 0.2472
0, 42, P38996, 2, 0.2473
0, 42, Q12421, 1, 0.2473
0, 42, P06704, 1, 0.2474
0, 42, P25502, 2, 0.2474
0, 42, P31380, 4, 0.2474
0, 42, P22579, 4, 0.2476
0, 42, P35996, 1, 0.2476
0, 42, Q12690, 1, 0.2477
0, 42, Q08909, 1, 0.2479
0, 42, Q12072, 2, 0.2479
0, 42, P17883, 6, 0.248
0, 42, P41056, 1, 0.2484
0, 42, P50094, 2, 0.2484
0, 42, Q12004, 1, 0.2484
0, 42, P32357, 2, 0.2485
0, 42, P39730, 4, 0.2485
0, 42, Q06005, 1, 0.2486
0, 42, P36158, 2, 0.2487
0, 42, P46970, 3, 0.2487
0, 42, P02381, 1, 0.2489
0, 42, P25366, 1, 0.2489
0, 42, Q06217, 1, 0.2489
0, 42, P38262, 2, 0.249
0, 42, P40496, 1, 0.249
0, 42, P31378, 1, 0.2491
0, 42, Q08972, 3, 0.2491
0, 42, P40560, 4, 0.2492
0, 42, P24868, 2, 0.2493
0, 42, P26754, 1, 0.2493
0, 42, P32641, 3, 0.2493
0, 42, Q02950, 2, 0.2496
0, 42, P40564, 2, 0.2497
0, 42, Q12457, 2, 0.2499
0, 42, P19735, 3, 0.2501
0, 42, P33751, 1, 0.2501
0, 42, P36104, 1, 0.2501
0, 42, P38138, 3, 0.2501
0, 42, P14126, 2, 0.2502
0, 42, Q12172, 3, 0.2502
0, 42, P26793, 1, 0.2503
0, 42, P40212, 1, 0.2503
0, 42, P36121, 1, 0.2506
0, 42, P40060, 1, 0.2508
0, 42, P53930, 1, 0.2508
0, 42, Q12224, 1, 0.2508
0, 42, P33308, 1, 0.2509
0, 42, P36525, 1, 0.2509
0, 42, Q05468, 1, 0.2509
0, 42, P21372, 3, 0.251
0, 42, P39531, 4, 0.251
0, 42, P39706, 1, 0.251
0, 42, P51601, 1, 0.251
0, 42, P41910, 1, 0.2511
0, 42, Q06053, 2, 0.2511
0, 42, Q04007, 1, 0.2512
0, 42, P38011, 1, 0.2515
0, 42, P21375, 2, 0.2518
0, 42, P43609, 2, 0.2518
0, 42, P38302, 1, 0.252
0, 42, P39009, 2, 0.252
0, 42, P48164, 1, 0.252
0, 42, Q03429, 1, 0.252
0, 42, Q12468, 2, 0.2521
0, 42, P24869, 2, 0.2522
0, 42, P38439, 2, 0.2522
0, 42, P53881, 1, 0.2522
0, 42, Q08732, 2, 0.2522
0, 42, P09547, 2, 0.2524
0, 42, P14120, 1, 0.2524
0, 42, Q07993, 2, 0.2527
0, 42, P27692, 4, 0.2528
0, 42, P0C2H8, 1, 0.2529
0, 42, P25559, 3, 0.2529
0, 42, P40487, 3, 0.253
0, 42, Q03104, 4, 0.2531
0, 42, P14680, 2, 0.2533
0, 42, P08678, 4, 0.2534
0, 42, P16387, 1, 0.2534
0, 42, P25294, 1, 0.2536
0, 42, P53119, 4, 0.2536
0, 42, Q12161, 1, 0.2536
0, 42, Q12262, 1, 0.2536
0, 42, Q06213, 1, 0.2538
0, 42, P53843, 1, 0.2541
0, 42, Q04264, 4, 0.2542
0, 42, P05740, 1, 0.2544
0, 42, P47139, 3, 0.2545
0, 42, P48589, 1, 0.2545
0, 42, Q99359, 1, 0.2545
0, 42, P32333, 6, 0.2547
0, 42, P38144, 3, 0.2548
0, 42, P46948, 1, 0.2548
0, 42, P13574, 1, 0.2549
0, 42, Q06440, 1, 0.2549
0, 42, P34253, 2, 0.255
0, 42, P36006, 3, 0.255
0, 42, Q12027, 2, 0.2551
0, 42, P38697, 2, 0.2553
0, 42, P53076, 4, 0.2553
0, 42, P21576, 2, 0.2554
0, 42, Q06412, 4, 0.2556
0, 42, Q08773, 5, 0.2556
0, 42, P40558, 1, 0.2557
0, 42, Q07458, 1, 0.2557
0, 42, Q12204, 2, 0.2557
0, 42, P28005, 1, 0.2558
0, 42, Q12428, 2, 0.2561
0, 42, P41812, 5, 0.2562
0, 42, P25389, 2, 0.2563
0, 42, P39723, 2, 0.2563
0, 42, P38701, 1, 0.2566
0, 42, P40856, 3, 0.2566
0, 42, Q06071, 1, 0.2566
0, 42, P32618, 3, 0.2567
0, 42, P27882, 1, 0.2568
0, 42, P38904, 3, 0.2568
0, 42, P53251, 2, 0.2568
0, 42, P53891, 1, 0.2568
0, 42, P53100, 2, 0.2569
0, 42, P43610, 3, 0.2571
0, 42, P11792, 1, 0.2572
0, 42, Q03213, 1, 0.2572
0, 42, P32481, 3, 0.2573
0, 42, P53218, 1, 0.2574
0, 42, P40492, 3, 0.2576
0, 42, P08536, 3, 0.2578
0, 42, P25582, 3, 0.258
0, 42, P33201, 1, 0.2585
0, 42, P33892, 7, 0.2586
0, 42, P08518, 6, 0.2589
0, 42, P32585, 1, 0.2589
0, 42, P36519, 1, 0.2589
0, 42, Q03010, 1, 0.2589
0, 42, P38132, 3, 0.2591
0, 42, P47821, 2, 0.2592
0, 42, P06242, 1, 0.2593
0, 42, P20434, 1, 0.2594
0, 42, Q06819, 1, 0.2594
0, 42, P16451, 1, 0.2595
0, 42, P43589, 3, 0.2596
0, 42, P19956, 1, 0.2601
0, 42, P38738, 2, 0.2601
0, 42, P53317, 1, 0.2601
0, 42, Q03940, 1, 0.2602
0, 42, Q03759, 1, 0.2605
0, 42, P32367, 3, 0.2606
0, 42, P40070, 1, 0.2606
0, 42, P15790, 1, 0.2607
0, 42, Q06697, 2, 0.2607
0, 42, P26755, 1, 0.2608
0, 42, P38801, 1, 0.2611
0, 42, Q05937, 1, 0.2611
0, 42, P43583, 6, 0.2612
0, 42, P12695, 1, 0.2614
0, 42, Q06411, 2, 0.2614
0, 42, P32862, 2, 0.2615
0, 42, P53552, 5, 0.2615
0, 42, P53970, 1, 0.2615
0, 42, P17442, 4, 0.2617
0, 42, Q08162, 4, 0.2618
0, 42, P38208, 1, 0.2619
0, 42, Q12395, 1, 0.2619
0, 42, Q99395, 1, 0.2619
0, 42, Q04195, 3, 0.2621
0, 42, P06367, 1, 0.2622
0, 42, P28708, 1, 0.2625
0, 42, Q12280, 5, 0.2625
0, 42, P35817, 2, 0.2626
0, 42, Q12524, 1, 0.2627
0, 42, P47085, 1, 0.2632
0, 42, Q07688, 1, 0.2632
0, 42, P50942, 3, 0.2633
0, 42, Q06488, 4, 0.2635
0, 42, P53255, 2, 0.2636
0, 42, P00546, 1, 0.2637
0, 42, P23201, 3, 0.2637
0, 42, P05750, 1, 0.264
0, 42, P29478, 1, 0.264
0, 42, Q12308, 2, 0.264
0, 42, P38907, 1, 0.2641
0, 54, P20438, 1, 0.2642
0, 54, P38788, 2, 0.2642
0, 54, P49704, 2, 0.2643
0, 54, P12753, 6, 0.2644
0, 54, P36080, 1, 0.2646
0, 54, P50101, 7, 0.2648
0, 54, P38902, 1, 0.2649
0, 54, Q03834, 5, 0.2651
0, 54, P36224, 2, 0.2654
0, 54, P06838, 1, 0.2655
0, 54, P07260, 1, 0.2655
0, 54, P37366, 2, 0.2657
0, 54, Q05948, 1, 0.2657
0, 54, P53331, 3, 0.2658
0, 54, Q99383, 1, 0.2658
0, 54, P53844, 2, 0.2659
0, 54, P41805, 1, 0.2661
0, 54, P47093, 1, 0.2662
0, 54, Q02821, 1, 0.2662
0, 54, Q06623, 2, 0.2662
0, 54, Q08687, 1, 0.2662
0, 54, P29468, 3, 0.2663
0, 54, P50095, 2, 0.2663
0, 54, P53729, 2, 0.2665
0, 54, P06774, 1, 0.2667
0, 54, Q01855, 1, 0.2667
0, 54, Q12018, 4, 0.2668
0, 54, Q08949, 2, 0.267
0, 54, P36114, 2, 0.2672
0, 54, P28000, 1, 0.2673
0, 54, Q08932, 1, 0.2674
0, 54, P47163, 2, 0.2675
0, 54, P53851, 1, 0.2675
0, 54, P53168, 1, 0.2677
0, 54, Q06339, 1, 0.2678
0, 54, P32380, 3, 0.268
0, 54, Q04199, 1, 0.268
0, 54, P05317, 1, 0.2681
0, 54, P38793, 2, 0.2681
0, 54, P25293, 1, 0.2682
0, 54, P40522, 3, 0.2682
0, 54, P40363, 1, 0.2684
0, 54, P39743, 1, 0.2686
0, 54, P08465, 3, 0.2687
0, 54, P17076, 1, 0.269
0, 54, P38120, 1, 0.269
0, 54, P34232, 1, 0.2691
0, 54, P38859, 5, 0.2694
0, 54, P32558, 5, 0.2697
0, 54, P0C2H9, 1, 0.2698
0, 54, P35718, 1, 0.2698
0, 54, P25847, 5, 0.27
0, 54, P38792, 2, 0.27
0, 54, Q03862, 1, 0.27
0, 54, P38344, 1, 0.2703
0, 54, Q04336, 3, 0.2703
0, 54, P12754, 2, 0.2704
0, 54, P04050, 8, 0.2705
0, 54, P47027, 3, 0.2705
0, 54, Q04004, 1, 0.2705
0, 54, Q04603, 1, 0.2705
0, 54, P41913, 1, 0.2706
0, 54, Q12298, 2, 0.2706
0, 54, P38744, 1, 0.2707
0, 54, Q12415, 1, 0.2708
0, 54, P36517, 2, 0.2711
0, 54, P20053, 1, 0.2713
0, 54, Q06142, 2, 0.2716
0, 54, Q12093, 2, 0.2717
0, 54, P47048, 3, 0.2718
0, 54, Q06675, 1, 0.2718
0, 54, P14741, 2, 0.2719
0, 54, Q08217, 4, 0.2719
0, 54, P38687, 2, 0.272
0, 54, P40462, 4, 0.272
0, 54, P47158, 2, 0.272
0, 54, P53065, 1, 0.2722
0, 54, Q02887, 2, 0.2722
0, 54, P25359, 2, 0.2723
0, 54, P38203, 1, 0.2726
0, 54, Q12216, 2, 0.2726
0, 54, Q07379, 1, 0.2727
0, 54, P48365, 4, 0.2728
0, 54, P17555, 2, 0.2732
0, 54, P39715, 1, 0.2732
0, 54, P34072, 1, 0.2733
0, 54, P34160, 3, 0.2733
0, 54, P34243, 4, 0.2734
