### DATA:
#
# 1249
#      Q             I(Q)           Error     
1.52932429E-01  3.83642114E-06  3.32239256E-07
1.53219759E-01  3.58087423E-06  3.27514010E-07
1.53507088E-01  2.93651569E-06  3.31761538E-07
1.53794417E-01  3.47797305E-06  3.32254073E-07
1.54081745E-01  3.54364338E-06  3.27944530E-07
1.54369072E-01  3.53351269E-06  3.26637487E-07
1.54656399E-01  3.86374959E-06  3.29716501E-07
1.54943724E-01  3.60994867E-06  3.33171059E-07
1.55231049E-01  3.29260802E-06  3.30562170E-07
1.55518373E-01  3.17939994E-06  3.27419997E-07
1.55805696E-01  3.56675534E-06  3.32701432E-07
1.56093019E-01  3.70535991E-06  3.28932877E-07
1.56380341E-01  3.32892113E-06  3.27819331E-07
1.56667662E-01  3.34175198E-06  3.27909427E-07
1.56954982E-01  3.34753065E-06  3.28000039E-07
1.57242301E-01  3.55759975E-06  3.30470861E-07
1.57529620E-01  3.85657264E-06  3.24912576E-07
1.57816937E-01  3.16190757E-06  3.27405292E-07
1.58104254E-01  3.70930815E-06  3.28849762E-07
1.58391570E-01  2.74907845E-06  3.27185796E-07
1.58678886E-01  2.83009084E-06  3.27142268E-07
1.58966200E-01  3.59531013E-06  3.22935537E-07
1.59253514E-01  3.11657085E-06  3.29559428E-07
1.59540827E-01  3.71936980E-06  3.25264012E-07
1.59828139E-01  2.91197354E-06  3.24911866E-07
1.60115451E-01  2.87988147E-06  3.24961139E-07
1.60402761E-01  2.98129960E-06  3.23177067E-07
1.60690071E-01  2.80756646E-06  3.25270275E-07
1.60977380E-01  2.91656413E-06  3.22749913E-07
1.61264688E-01  3.31732632E-06  3.20227279E-07
1.61551996E-01  3.33743283E-06  3.19639535E-07
1.61839302E-01  2.95212965E-06  3.15626778E-07
1.62126608E-01  2.58208182E-06  3.18628230E-07
1.62413913E-01  3.03020865E-06  3.18439279E-07
1.62701217E-01  2.62286896E-06  3.18408213E-07
1.62988520E-01  2.86862721E-06  3.17529392E-07
1.63275822E-01  3.31141981E-06  3.18894826E-07
1.63563124E-01  3.23288387E-06  3.21473391E-07
1.63850425E-01  2.70264759E-06  3.17409858E-07
1.64137725E-01  2.87490345E-06  3.18993864E-07
1.64425024E-01  3.22599211E-06  3.20415664E-07
1.64712322E-01  2.66586985E-06  3.18942957E-07
1.64999620E-01  3.16983452E-06  3.18266201E-07
1.65286917E-01  2.90341932E-06  3.19651589E-07
1.65574212E-01  2.69198474E-06  3.17521967E-07
1.65861507E-01  2.30509151E-06  3.13361097E-07
1.66148802E-01  2.78212490E-06  3.12886482E-07
1.66436095E-01  2.54305192E-06  3.08609757E-07
1.66723387E-01  3.10060908E-06  3.11336185E-07
1.67010679E-01  3.02445637E-06  3.11827519E-07
1.67297970E-01  3.21180647E-06  3.10805977E-07
1.67585260E-01  2.83473416E-06  3.13824462E-07
1.67872549E-01  2.84110261E-06  3.15570477E-07
1.68159837E-01  2.85707548E-06  3.15473558E-07
1.68447125E-01  2.66048165E-06  3.13935579E-07
1.68734412E-01  2.85071289E-06  3.13284147E-07
1.69021697E-01  3.02396798E-06  3.12450348E-07
1.69308982E-01  2.48610112E-06  3.16433115E-07
1.69596266E-01  2.72836084E-06  3.16693852E-07
1.69883549E-01  2.87044877E-06  3.12413032E-07
1.70170832E-01  2.80649534E-06  3.11800471E-07
1.70458113E-01  2.61361058E-06  3.11603485E-07
1.70745394E-01  2.76462572E-06  3.11263417E-07
1.71032674E-01  2.76980475E-06  3.13160135E-07
1.71319953E-01  2.83374848E-06  3.10515466E-07
1.71607231E-01  2.28930741E-06  3.10538641E-07
1.71894508E-01  2.51573126E-06  3.15785899E-07
1.72181784E-01  2.51468395E-06  3.09683730E-07
1.72469060E-01  2.65112523E-06  3.11823483E-07
1.72756335E-01  3.27015573E-06  3.09335678E-07
1.73043608E-01  2.78341960E-06  3.11637560E-07
1.73330881E-01  3.14162406E-06  3.14453329E-07
1.73618153E-01  1.97527554E-06  3.07697648E-07
1.73905424E-01  1.79733617E-06  3.12972433E-07
1.74192695E-01  3.08976032E-06  3.12609662E-07
1.74479964E-01  2.44424207E-06  3.09530526E-07
1.74767232E-01  2.61503356E-06  3.06641926E-07
1.75054500E-01  2.64075216E-06  3.07761101E-07
1.75341767E-01  2.25852062E-06  3.07505263E-07
1.75629033E-01  2.62534505E-06  3.08924066E-07
1.75916298E-01  2.08929900E-06  3.09112228E-07
1.76203562E-01  2.16797244E-06  3.06040028E-07
1.76490825E-01  2.26496618E-06  3.06681020E-07
1.76778087E-01  2.63680259E-06  3.09231895E-07
1.77065349E-01  2.54211714E-06  3.09385402E-07
1.77352609E-01  2.34463336E-06  3.06273814E-07
1.77639869E-01  2.61223950E-06  3.05788919E-07
1.77927128E-01  2.49088238E-06  3.07654082E-07
1.78214386E-01  2.82731024E-06  3.06166615E-07
1.78501643E-01  2.58704313E-06  3.06994353E-07
1.78788899E-01  2.45838397E-06  3.08633743E-07
1.79076154E-01  2.12173205E-06  3.05584590E-07
1.79363408E-01  2.82671877E-06  3.01516619E-07
1.79650662E-01  2.09537230E-06  2.98359177E-07
1.79937914E-01  2.57169677E-06  3.00928055E-07
1.80225166E-01  2.27141361E-06  3.02493794E-07
1.80512417E-01  2.36288809E-06  3.02292108E-07
1.80799666E-01  2.57797702E-06  3.04060778E-07
1.81086915E-01  1.75806368E-06  2.98514340E-07
1.81374163E-01  1.87456944E-06  3.00922839E-07
1.81661410E-01  2.52178331E-06  3.01779697E-07
1.81948656E-01  2.47083684E-06  3.02384711E-07
1.82235902E-01  2.85296009E-06  3.02017092E-07
1.82523146E-01  2.51117222E-06  3.00423917E-07
1.82810389E-01  2.06014242E-06  3.00825574E-07
1.83097632E-01  2.10329603E-06  2.98240208E-07
1.83384873E-01  2.60229382E-06  2.99443542E-07
1.83672114E-01  2.13186069E-06  3.01196918E-07
1.83959354E-01  2.29297130E-06  2.99736917E-07
1.84246592E-01  2.25757684E-06  3.03976673E-07
1.84533830E-01  2.50721923E-06  2.96147907E-07
1.84821067E-01  2.20620336E-06  2.97285368E-07
1.85108303E-01  2.21064914E-06  2.99710387E-07
1.85395538E-01  2.58619232E-06  2.98849118E-07
1.85682773E-01  2.29766016E-06  3.00127916E-07
1.85970006E-01  2.08761700E-06  2.98208245E-07
1.86257238E-01  2.15023322E-06  2.97286701E-07
1.86544469E-01  2.10549712E-06  3.00451086E-07
1.86831700E-01  2.23230895E-06  2.97876041E-07
1.87118929E-01  2.11725265E-06  3.00507867E-07
1.87406158E-01  2.30643930E-06  2.98958377E-07
1.87693385E-01  1.88257794E-06  2.99241732E-07
1.87980612E-01  2.40145527E-06  2.99297438E-07
1.88267838E-01  2.30987558E-06  2.98548152E-07
1.88555062E-01  2.25917854E-06  3.01291968E-07
1.88842286E-01  2.06038634E-06  2.98150073E-07
1.89129509E-01  2.45942515E-06  2.96239570E-07
1.89416731E-01  2.40469090E-06  2.94701318E-07
1.89703952E-01  2.15523728E-06  2.95622840E-07
1.89991172E-01  1.84342821E-06  3.00869776E-07
1.90278391E-01  2.25943994E-06  3.00242535E-07
1.90565609E-01  1.40834770E-06  2.96928726E-07
1.90852826E-01  2.15335184E-06  2.96999862E-07
1.91140043E-01  2.32715734E-06  2.94484725E-07
1.91427258E-01  1.75561429E-06  2.99137101E-07
1.91714472E-01  2.31145755E-06  2.93195613E-07
1.92001685E-01  2.14553031E-06  2.91785208E-07
1.92288898E-01  1.98421786E-06  2.95634424E-07
1.92576109E-01  2.17713769E-06  2.94848512E-07
1.92863319E-01  2.35934894E-06  2.96430951E-07
1.93150529E-01  2.37378860E-06  2.96818602E-07
1.93437737E-01  1.88204249E-06  2.93067728E-07
1.93724945E-01  2.00354867E-06  2.93251950E-07
1.94012151E-01  2.39573273E-06  2.99625095E-07
1.94299357E-01  1.68829237E-06  3.06242117E-07
1.94586562E-01  2.84247234E-06  3.12866903E-07
1.94873765E-01  2.06054987E-06  3.07395417E-07
1.95160968E-01  2.09986857E-06  3.14316373E-07
1.95448169E-01  2.10772561E-06  3.14215039E-07
1.95735370E-01  1.96287584E-06  3.12637845E-07
1.96022570E-01  2.43849906E-06  3.18106484E-07
1.96309768E-01  1.50338759E-06  3.14069136E-07
1.96596966E-01  2.14324941E-06  3.15713153E-07
1.96884163E-01  2.39513422E-06  3.10797654E-07
1.97171359E-01  1.72622563E-06  3.09976385E-07
1.97458553E-01  2.34756864E-06  3.15785481E-07
1.97745747E-01  2.01521723E-06  3.12193486E-07
1.98032940E-01  2.47075678E-06  3.12896455E-07
1.98320132E-01  2.26512685E-06  3.14082008E-07
1.98607322E-01  1.78740386E-06  3.13405748E-07
1.98894512E-01  2.47425461E-06  3.19908804E-07
1.99181701E-01  2.13565820E-06  3.03928892E-07
1.99468889E-01  2.24841563E-06  3.03613205E-07
1.99756075E-01  1.76667252E-06  3.03061128E-07
2.00043261E-01  2.03086043E-06  3.03509185E-07
2.00330446E-01  1.64880116E-06  3.02074714E-07
2.00617630E-01  1.87999072E-06  2.97068127E-07
2.00904812E-01  1.97716277E-06  2.99865413E-07
2.01191994E-01  2.21298534E-06  2.98697389E-07
2.01479175E-01  2.04717561E-06  3.00967173E-07
2.01766355E-01  1.53329675E-06  2.95568905E-07
2.02053533E-01  2.29591534E-06  2.95616482E-07
2.02340711E-01  1.52281325E-06  3.00681584E-07
2.02627888E-01  1.48788987E-06  2.96414125E-07
2.02915063E-01  1.63212058E-06  2.96376022E-07
2.03202238E-01  1.78752893E-06  2.92349055E-07
2.03489412E-01  1.40499458E-06  2.96238875E-07
2.03776584E-01  1.55814348E-06  2.96614945E-07
2.04063756E-01  1.29628442E-06  2.91673383E-07
2.04350926E-01  2.34432954E-06  2.97073893E-07
2.04638096E-01  2.46149999E-06  2.95899799E-07
2.04925264E-01  2.07117842E-06  2.96777954E-07
2.05212432E-01  1.37850477E-06  2.95114248E-07
2.05499598E-01  1.31481274E-06  2.90156912E-07
2.05786764E-01  1.71043341E-06  2.96902839E-07
2.06073928E-01  2.01917103E-06  2.90958782E-07
2.06361091E-01  1.59533071E-06  2.93445172E-07
2.06648254E-01  1.83612113E-06  2.89750455E-07
2.06935415E-01  1.83811074E-06  2.93532179E-07
2.07222575E-01  1.93544592E-06  2.95436798E-07
2.07509734E-01  1.92281281E-06  2.91537941E-07
2.07796893E-01  1.65839916E-06  2.91667995E-07
2.08084050E-01  1.90395420E-06  2.90247867E-07
2.08371206E-01  1.77982023E-06  2.92480303E-07
2.08658361E-01  1.99589997E-06  2.89842038E-07
2.08945515E-01  1.40660188E-06  2.88083440E-07
2.09232668E-01  1.96501317E-06  2.91388323E-07
2.09519819E-01  1.74827809E-06  2.86862585E-07
2.09806970E-01  1.71314430E-06  2.91179297E-07
2.10094120E-01  1.33481926E-06  2.91030225E-07
2.10381269E-01  2.19583975E-06  2.91483212E-07
2.10668416E-01  1.68409453E-06  2.88539042E-07
2.10955563E-01  1.74591024E-06  2.87445670E-07
2.11242708E-01  1.48923761E-06  2.91173224E-07
2.11529853E-01  1.52277526E-06  2.85745661E-07
2.11816996E-01  1.43475536E-06  2.88426631E-07
2.12104139E-01  2.06261168E-06  2.88832333E-07
2.12391280E-01  1.81441962E-06  2.86862520E-07
2.12678420E-01  1.44976343E-06  2.84909137E-07
2.12965559E-01  1.44332440E-06  2.85259474E-07
2.13252697E-01  1.95150307E-06  2.88811306E-07
2.13539834E-01  1.84027763E-06  2.86582995E-07
2.13826970E-01  1.28550815E-06  2.84588702E-07
2.14114105E-01  1.85848225E-06  2.88048926E-07
2.14401239E-01  2.23064662E-06  2.80812707E-07
2.14688372E-01  1.94341711E-06  2.81436598E-07
2.14975503E-01  1.32051541E-06  2.82193834E-07
2.15262634E-01  1.38808225E-06  2.82548814E-07
2.15549763E-01  1.93584572E-06  2.84986851E-07
2.15836892E-01  1.66831880E-06  2.81710654E-07
2.16124019E-01  1.26687765E-06  2.86043245E-07
2.16411145E-01  8.23624543E-07  2.78281369E-07
2.16698271E-01  1.69562864E-06  2.81486850E-07
2.16985395E-01  1.25705366E-06  2.83089737E-07
2.17272518E-01  1.14688802E-06  2.83010990E-07
2.17559639E-01  1.67007070E-06  2.84482723E-07
2.17846760E-01  1.56235423E-06  2.81157027E-07
2.18133880E-01  1.46339647E-06  2.83896532E-07
2.18420999E-01  1.25644913E-06  2.84093992E-07
2.18708116E-01  1.91877950E-06  2.80269012E-07
2.18995232E-01  1.61179673E-06  2.84946483E-07
2.19282348E-01  1.39369637E-06  2.81562445E-07
2.19569462E-01  1.54996786E-06  2.81085007E-07
2.19856575E-01  1.29330288E-06  2.79740178E-07
2.20143687E-01  1.43403194E-06  2.82788231E-07
2.20430798E-01  1.53903250E-06  2.83871918E-07
2.20717908E-01  1.41036260E-06  2.81349431E-07
2.21005016E-01  1.58056966E-06  2.83747796E-07
2.21292124E-01  1.34791644E-06  2.77546039E-07
2.21579230E-01  1.48058272E-06  2.79493096E-07
2.21866336E-01  1.83442913E-06  2.80836084E-07
2.22153440E-01  1.86230876E-06  2.79014005E-07
2.22440543E-01  1.56306542E-06  2.82884259E-07
2.22727645E-01  1.52113973E-06  2.79838050E-07
2.23014746E-01  1.47851906E-06  2.79363637E-07
2.23301846E-01  1.71266775E-06  2.80068846E-07
2.23588944E-01  1.49749097E-06  2.79074488E-07
2.23876042E-01  1.71077332E-06  2.80441971E-07
2.24163138E-01  1.73013670E-06  2.77183756E-07
2.24450234E-01  1.49729737E-06  2.78050725E-07
2.24737328E-01  1.55179347E-06  2.77417421E-07
2.25024421E-01  1.49348293E-06  2.79355941E-07
2.25311513E-01  1.53012124E-06  2.78045373E-07
2.25598603E-01  1.14064060E-06  2.78173601E-07
2.25885693E-01  1.40577202E-06  2.79163607E-07
2.26172782E-01  1.52768335E-06  2.74116144E-07
2.26459869E-01  1.45221743E-06  2.81191350E-07
2.26746955E-01  8.62704437E-07  2.74541526E-07
2.27034040E-01  1.61510248E-06  2.73042387E-07
2.27321124E-01  1.69189108E-06  2.73239614E-07
2.27608207E-01  1.22051816E-06  2.72658828E-07
2.27895289E-01  1.02687545E-06  2.77257488E-07
2.28182369E-01  1.56067925E-06  2.76153508E-07
2.28469449E-01  9.10477868E-07  2.72902211E-07
2.28756527E-01  1.66237289E-06  2.75624660E-07
2.29043604E-01  1.55298546E-06  2.74147608E-07
2.29330680E-01  1.22116935E-06  2.75348881E-07
2.29617755E-01  1.15746260E-06  2.71417496E-07
2.29904828E-01  1.07989861E-06  2.75485115E-07
2.30191901E-01  1.52653852E-06  2.75163950E-07
2.30478972E-01  1.43677386E-06  2.73059366E-07
2.30766042E-01  1.75560466E-06  2.75131398E-07
2.31053111E-01  1.58355139E-06  2.72709560E-07
2.31340179E-01  1.45873490E-06  2.75992414E-07
2.31627246E-01  1.27843022E-06  2.70797487E-07
2.31914311E-01  1.55131040E-06  2.70192710E-07
2.32201376E-01  1.22016671E-06  2.66308284E-07
2.32488439E-01  1.09329604E-06  2.68526638E-07
2.32775501E-01  1.59979384E-06  2.72035558E-07
2.33062562E-01  1.34867082E-06  2.68735249E-07
2.33349621E-01  5.83602768E-07  2.69482716E-07
2.33636680E-01  1.25436232E-06  2.73015878E-07
2.33923737E-01  1.22097697E-06  2.69556750E-07
2.34210794E-01  1.67404020E-06  2.72066335E-07
2.34497849E-01  1.43560686E-06  2.68018798E-07
2.34784902E-01  1.21819133E-06  2.70192386E-07
2.35071955E-01  1.09581180E-06  2.68748466E-07
2.35359006E-01  1.57135001E-06  2.70640635E-07
2.35646057E-01  1.15043139E-06  2.70106413E-07
2.35933106E-01  1.72033772E-06  2.69350001E-07
2.36220154E-01  1.80273973E-06  2.73030114E-07
2.36507201E-01  1.46245719E-06  2.70937700E-07
2.36794246E-01  1.56409352E-06  2.70820384E-07
2.37081290E-01  1.61807183E-06  2.70423860E-07
2.37368334E-01  1.05563444E-06  2.68742875E-07
2.37655376E-01  9.40633967E-07  2.69030392E-07
2.37942416E-01  1.66172286E-06  2.69506973E-07
2.38229456E-01  1.36752290E-06  2.69338547E-07
2.38516494E-01  1.13228078E-06  2.70386860E-07
2.38803532E-01  1.41025875E-06  2.68892832E-07
2.39090568E-01  1.10865135E-06  2.70713731E-07
2.39377602E-01  9.12738462E-07  2.67289946E-07
2.39664636E-01  1.42688741E-06  2.69178983E-07
2.39951668E-01  1.01915188E-06  2.68085293E-07
2.40238700E-01  1.30410631E-06  2.70551903E-07
2.40525730E-01  1.28437600E-06  2.66346471E-07
2.40812758E-01  1.13204323E-06  2.65965838E-07
2.41099786E-01  1.36784763E-06  2.70430614E-07
2.41386812E-01  1.48908598E-06  2.68025507E-07
2.41673838E-01  1.60961576E-06  2.68988678E-07
2.41960861E-01  1.37842959E-06  2.67010149E-07
2.42247884E-01  1.33282742E-06  2.69208706E-07
2.42534906E-01  8.22061641E-07  2.67317514E-07
2.42821926E-01  1.27643190E-06  2.64341682E-07
2.43108945E-01  1.22815298E-06  2.68668242E-07
2.43395963E-01  1.29743786E-06  2.66961081E-07
2.43682980E-01  2.11605758E-06  2.69121382E-07
2.43969995E-01  1.16170538E-06  2.70033528E-07
2.44257009E-01  1.34691006E-06  2.66660244E-07
2.44544022E-01  1.17669151E-06  2.65672060E-07
2.44831034E-01  1.26609821E-06  2.67381114E-07
2.45118045E-01  1.55354949E-06  2.68224201E-07
2.45405054E-01  9.87845771E-07  2.67855186E-07
2.45692062E-01  1.15391523E-06  2.66499292E-07
2.45979069E-01  6.86878190E-07  2.64861916E-07
2.46266074E-01  9.07968684E-07  2.65310255E-07
2.46553079E-01  1.45118939E-06  2.66059880E-07
2.46840082E-01  1.60001444E-06  2.64773139E-07
2.47127084E-01  1.12179950E-06  2.67582759E-07
2.47414084E-01  1.28175746E-06  2.65015215E-07
2.47701084E-01  8.18639780E-07  2.63576739E-07
2.47988082E-01  1.25758125E-06  2.64784343E-07
2.48275079E-01  1.34787528E-06  2.65533985E-07
2.48562075E-01  1.12970105E-06  2.65161420E-07
2.48849069E-01  8.76059091E-07  2.64497688E-07
2.49136062E-01  9.61465175E-07  2.61317014E-07
2.49423054E-01  1.17133184E-06  2.61508099E-07
2.49710045E-01  1.14221567E-06  2.60319400E-07
2.49997034E-01  1.08258320E-06  2.60043571E-07
2.50284022E-01  1.16914634E-06  2.59712447E-07
2.50571009E-01  9.10746288E-07  2.61374616E-07
2.50857995E-01  1.04579982E-06  2.62148292E-07
2.51144979E-01  1.35352613E-06  2.62984323E-07
2.51431962E-01  7.72791635E-07  2.62348145E-07
2.51718944E-01  1.39474672E-06  2.61483906E-07
2.52005925E-01  1.16349610E-06  2.61758489E-07
2.52292904E-01  1.36983061E-06  2.59335551E-07
2.52579882E-01  7.94820498E-07  2.61601756E-07
2.52866859E-01  6.57134685E-07  2.61945077E-07
2.53153835E-01  1.33503901E-06  2.61429566E-07
2.53440809E-01  1.06048509E-06  2.63405474E-07
2.53727782E-01  6.90011428E-07  2.61348112E-07
2.54014754E-01  1.26193281E-06  2.62697475E-07
2.54301724E-01  8.86041919E-07  2.61650718E-07
2.54588694E-01  1.15608279E-06  2.60633269E-07
2.54875661E-01  8.86210620E-07  2.61529088E-07
2.55162628E-01  1.21318259E-06  2.64859399E-07
2.55449593E-01  1.37696752E-06  2.71188134E-07
2.55736558E-01  8.34513022E-07  2.71959532E-07
2.56023520E-01  9.05145443E-07  2.70660712E-07
2.56310482E-01  1.54434321E-06  2.72909298E-07
2.56597442E-01  1.25252695E-06  2.75340945E-07
2.56884401E-01  1.42862993E-06  2.74852666E-07
2.57171359E-01  1.39211306E-06  2.75128459E-07
2.57458315E-01  8.24257208E-07  2.76136813E-07
2.57745270E-01  1.36258398E-06  2.79057834E-07
2.58032224E-01  1.13116187E-06  2.76296745E-07
2.58319176E-01  1.07278521E-06  2.79294049E-07
2.58606128E-01  1.23795896E-06  2.79663728E-07
2.58893077E-01  1.30889810E-06  2.77536074E-07
2.59180026E-01  9.49110455E-07  2.82902465E-07
2.59466973E-01  1.45028913E-06  2.79957119E-07
2.59753919E-01  1.40252705E-06  2.84602778E-07
2.60040864E-01  1.17002829E-06  2.79967087E-07
2.60327807E-01  9.50513768E-07  2.78102727E-07
2.60614750E-01  1.63331993E-06  2.86188775E-07
2.60901690E-01  1.07860345E-06  2.81283722E-07
2.61188630E-01  7.44573687E-07  2.82558641E-07
2.61475568E-01  9.48911571E-07  2.84817096E-07
2.61762505E-01  9.73955715E-07  2.83066556E-07
2.62049440E-01  1.49660849E-06  2.82961989E-07
2.62336375E-01  1.21478161E-06  2.84963068E-07
2.62623307E-01  1.37232306E-06  2.83113970E-07
2.62910239E-01  1.64659468E-06  2.84935413E-07
2.63197169E-01  9.82491843E-07  2.85723220E-07
2.63484098E-01  1.38904480E-06  2.84119352E-07
2.63771026E-01  7.54122886E-07  2.85832816E-07
2.64057952E-01  1.28195967E-06  2.87436597E-07
2.64344877E-01  7.69283877E-07  2.85982275E-07
2.64631801E-01  1.03707844E-06  2.89247238E-07
2.64918723E-01  1.07382716E-06  2.85050042E-07
2.65205644E-01  1.44692660E-06  2.87944491E-07
2.65492564E-01  1.25479163E-06  2.87364854E-07
2.65779482E-01  1.23602038E-06  2.89887669E-07
2.66066399E-01  1.01640001E-06  2.85684843E-07
2.66353315E-01  9.83379735E-07  2.84244213E-07
2.66640229E-01  1.31394758E-06  2.87672823E-07
2.66927142E-01  3.91733996E-07  2.91580852E-07
2.67214054E-01  5.88980063E-07  3.01729747E-07
2.67500964E-01  1.01254701E-06  3.00735244E-07
2.67787873E-01  1.29786300E-06  3.06466041E-07
2.68074781E-01  4.92479559E-07  3.12189685E-07
2.68361687E-01  1.14466909E-06  3.09946756E-07
2.68648592E-01  1.79777613E-06  3.15090655E-07
2.68935496E-01  6.70445831E-07  3.18932078E-07
2.69222398E-01  1.05137247E-06  3.20024755E-07
2.69509299E-01  9.72617002E-07  3.26777850E-07
2.69796199E-01  8.19180882E-07  3.22805789E-07
2.70083097E-01  3.88970047E-07  3.27326003E-07
2.70369994E-01  8.62731385E-07  3.28373886E-07
2.70656889E-01  1.69436199E-06  3.36777886E-07
2.70943783E-01  1.41269465E-06  3.37135588E-07
2.71230676E-01  1.31337305E-06  3.34285150E-07
2.71517568E-01  6.78146648E-07  3.34879524E-07
2.71804458E-01  6.70933633E-07  3.37991917E-07
2.72091346E-01  1.34028895E-06  3.39677455E-07
2.72378234E-01  1.05857711E-06  3.43243758E-07
2.72665120E-01  1.19792619E-06  3.43736500E-07
2.72952004E-01  5.11224622E-07  3.46476062E-07
2.73238888E-01  5.02410439E-07  3.43559275E-07
2.73525769E-01  1.45367284E-06  3.44676929E-07
2.73812650E-01  1.20241683E-06  3.50371120E-07
2.74099529E-01  9.11584579E-07  3.45857653E-07
2.74386407E-01  8.02128504E-07  3.51010251E-07
2.74673283E-01  1.00256710E-06  3.49119487E-07
2.74960158E-01  1.08415903E-06  3.51102818E-07
2.75247032E-01  7.53616764E-07  3.54180926E-07
2.75533904E-01  1.05004185E-06  3.53157166E-07
2.75820775E-01  1.23760177E-06  3.56276335E-07
2.76107644E-01  1.03619442E-06  3.57817281E-07
2.76394513E-01  1.27202270E-06  3.56120698E-07
2.76681379E-01  1.68946344E-06  3.63521144E-07
2.76968245E-01  1.07019177E-06  3.55382898E-07
2.77255108E-01  1.12909448E-06  3.59088967E-07
2.77541971E-01  1.05258607E-06  3.59377358E-07
2.77828832E-01  1.51884117E-06  3.60827294E-07
2.78115692E-01  8.15510775E-07  3.62936978E-07
2.78402550E-01  1.47698478E-06  3.56110480E-07
2.78689407E-01  9.38831505E-07  3.62609016E-07
2.78976263E-01  8.65928153E-07  3.61752930E-07
2.79263117E-01  8.66945650E-07  3.66418983E-07
2.79549970E-01  1.70311987E-06  3.65999524E-07
2.79836821E-01  1.47352360E-06  3.65783197E-07
2.80123671E-01  9.26358341E-07  3.74002553E-07
2.80410520E-01  1.44087999E-06  3.71726968E-07
2.80697367E-01  7.65896284E-07  3.69556784E-07
2.80984213E-01  1.45962572E-06  3.73063685E-07
2.81271057E-01  1.06425086E-06  3.71798069E-07
2.81557900E-01  3.37280601E-07  3.75675088E-07
2.81844742E-01  8.67783290E-07  3.73471819E-07
2.82131582E-01  8.52328272E-07  3.72995457E-07
2.82418420E-01  1.94134247E-06  3.81371491E-07
2.82705258E-01  9.59846328E-07  3.80760568E-07
2.82992094E-01  1.38537491E-06  3.79945242E-07
2.83278928E-01  1.41571007E-06  3.84380633E-07
2.83565761E-01  7.43833496E-07  3.77761175E-07
2.83852593E-01  6.60045071E-07  3.88622536E-07
2.84139423E-01  5.47381692E-07  3.87945653E-07
2.84426252E-01  1.11087818E-06  3.77107506E-07
2.84713079E-01  8.06508693E-07  3.88274966E-07
2.84999905E-01  7.66885166E-07  3.83266291E-07
2.85286730E-01  5.48724540E-07  3.93411890E-07
2.85573553E-01  1.33643498E-06  3.86427792E-07
2.85860374E-01  1.24551967E-06  3.86636098E-07
2.86147194E-01  1.73706988E-06  3.94823777E-07
2.86434013E-01  9.69973297E-07  3.89087841E-07
2.86720831E-01  1.03335690E-06  3.94254260E-07
2.87007646E-01  1.10384755E-06  3.91844882E-07
2.87294461E-01  8.39732935E-07  3.89573817E-07
2.87581274E-01  4.39763032E-07  4.02429348E-07
2.87868085E-01  1.34052605E-06  3.90059608E-07
2.88154896E-01  1.09281824E-06  3.97243261E-07
2.88441704E-01  9.47474626E-07  3.96429749E-07
2.88728512E-01  7.14951433E-07  3.96737907E-07
2.89015317E-01  1.83941735E-06  4.06816939E-07
2.89302122E-01  1.19017661E-06  3.92707344E-07
2.89588925E-01  8.40733637E-07  4.03893224E-07
2.89875726E-01  7.44649763E-07  4.04008232E-07
2.90162526E-01  1.03558502E-06  4.00655836E-07
2.90449325E-01  3.21523369E-07  4.09005299E-07
2.90736122E-01  1.60905711E-06  4.08877571E-07
2.91022917E-01  1.02242706E-06  4.11406327E-07
2.91309712E-01  9.90379426E-07  4.08540614E-07
2.91596504E-01  9.49921695E-07  4.10431875E-07
2.91883296E-01  3.64413944E-07  4.12803052E-07
2.92170085E-01  1.36346094E-06  4.09682320E-07
2.92456874E-01  1.03167832E-06  4.20156308E-07
2.92743661E-01  1.35392552E-06  4.13711538E-07
2.93030446E-01  3.50010696E-07  4.19022309E-07
2.93317230E-01  6.15218624E-07  4.13359234E-07
2.93604012E-01  1.07511091E-06  4.15294027E-07
2.93890793E-01  1.02727398E-06  4.23319945E-07
2.94177573E-01  1.35258897E-06  4.20112302E-07
2.94464351E-01  1.33015778E-06  4.26251982E-07
2.94751127E-01  1.25041850E-06  4.22597313E-07
2.95037903E-01  7.84488914E-07  4.20504858E-07
2.95324676E-01  9.95057472E-07  4.19788580E-07
2.95611448E-01  6.34372670E-07  4.20280092E-07
2.95898219E-01  2.69077802E-07  4.29818369E-07
2.96184988E-01  4.65493378E-07  4.26449037E-07
2.96471756E-01  1.35496412E-06  4.28020876E-07
2.96758522E-01  1.38887028E-06  4.28924060E-07
2.97045287E-01  6.97988019E-07  4.41472911E-07
2.97332050E-01  5.52759059E-07  4.37634601E-07
2.97618812E-01  2.88779943E-07  4.32075057E-07
2.97905572E-01  1.28593433E-06  4.42162513E-07
2.98192331E-01  9.59836120E-07  4.27441456E-07
2.98479088E-01  7.99042149E-07  4.43830707E-07
2.98765844E-01  1.18189172E-06  4.30645178E-07
2.99052598E-01  1.12401186E-06  4.37899190E-07
2.99339351E-01  1.01684108E-06  4.44173577E-07
2.99626102E-01  5.75857376E-07  4.31726289E-07
2.99912852E-01  6.30240381E-07  4.37278317E-07
3.00199600E-01  8.89668719E-07  4.35367489E-07
3.00486347E-01  1.10267847E-06  4.42603532E-07
3.00773092E-01  1.56049626E-06  4.48161618E-07
3.01059836E-01  -2.94254623E-07  4.36136264E-07
